Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueVsize1 PeakValueVsize2 TotalJobCPU1 TotalJobCPU2 TotalJobTime1 TotalJobTime2
1471813200.0 10021.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 10024.3 NA 0 NA 0 NA 0 NA 0
1471813200.0 10024.4 NA 0 NA 0 NA 0 NA 0
1471813200.0 10024.5 NA 0 NA 0 NA 0 NA 0
1471813200.0 10026.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 1004.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 101.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 10421.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 10425.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 10426.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 105.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 10821.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 110.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 111.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 11224.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 114.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 120.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 122.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 126.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 127.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 128.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 129.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 13.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 130.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 1307.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 131.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 1311.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 1312.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 1325.2 NA 0 NA 0 NA 0 NA 0
1471813200.0 1335.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 134.71 NA 0 NA 0 NA 0 NA 0
1471813200.0 134.902 NA 0 NA 0 NA 0 NA 0
1471813200.0 134.903 NA 0 NA 0 NA 0 NA 0
1471813200.0 134.911 NA 0 NA 0 NA 0 NA 0
1471813200.0 134.99901 NA 0 NA 0 NA 0 NA 0
1471813200.0 1354.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 136.722 NA 0 NA 0 NA 0 NA 0
1471813200.0 136.73 NA 0 NA 0 NA 0 NA 0
1471813200.0 136.735 NA 0 NA 0 NA 0 NA 0
1471813200.0 1363.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 140.1 NA 0 NA 0 NA 0 NA 0
1471813200.0 140.2 NA 0 NA 0 NA 0 NA 0
1471813200.0 140.4 NA 0 NA 0 NA 0 NA 0
1471813200.0 140.51 NA 0 NA 0 NA 0 NA 0
1471813200.0 15.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 19.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 21.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 250199.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 250200.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 250203.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 250204.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 250205.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 25203.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 25209.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 29.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 302.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 33.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 35.0 NA 0 NA 0 NA 0 NA 0
1471813200.0 4.44 NA 0 NA 0 NA 0 NA 0
1471813200.0 4.64 NA 0 NA 0 NA 0 NA 0
1471813200.0 4.76 NA 0 NA 0 NA 0 NA 0
1471813200.0 4.78 NA 0 NA 0 NA 0 NA 0
1471813200.0 4006.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 4008.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 500199.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 506.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 507.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 510.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 512.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 515.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 516.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 517.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 519.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 521.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 523.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 524.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 527.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 528.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 530.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 534.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 541.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 545.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 554.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 7.0 0 NA 0 NA 0 NA 0 NA
1471813200.0 8.0 NA 0 NA 0 NA 0 NA 0
