Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1471856400.0 5.4 180 0 NA 243 0 NA 823 377 NA 931 399 NA
1471856400.0 5.5 179 0 NA 244 0 NA 855 384 NA 1521 562 NA
1471856400.0 5.6 181 0 NA 247 0 NA 912 388 NA 1714 418 NA
1471856400.0 5.7 173 0 NA 243 0 NA 949 433 NA 1027 481 NA
1471856400.0 500199.0 107 NA NA 168 NA NA 3494 NA NA 5076 NA NA
1471856400.0 500200.0 NA 118 0 NA 193 0 NA 4952 0 NA 6152 0
1471856400.0 500200.1 58 97 161 105 161 222 12137 1174 2420 17284 1512 2717
1471856400.0 500202.0 NA 121 0 NA 199 0 NA 4812 0 NA 7219 0
1471856400.0 500203.0 NA 125 0 NA 200 0 NA 5119 0 NA 6254 0
1471856400.0 500204.0 NA 123 0 NA 197 0 NA 5100 0 NA 6415 0
1471856400.0 500205.0 NA 124 0 NA 193 0 NA 8787 0 NA 11075 0
1471856400.0 500206.0 NA 117 0 NA 197 0 NA 8914 0 NA 10190 0
1471856400.0 500207.0 NA 110 0 NA 182 0 NA 4498 0 NA 5059 0
1471856400.0 50200.0 NA 105 0 NA 165 0 NA 2262 0 NA 3813 0
1471856400.0 50202.0 NA 112 0 NA 165 0 NA 1644 0 NA 3538 0
1471856400.0 50203.0 NA 106 0 NA 163 0 NA 2473 0 NA 4346 0
1471856400.0 50204.0 NA 105 0 NA 163 0 NA 1595 0 NA 3714 0
1471856400.0 50205.0 NA 102 0 NA 164 0 NA 2498 0 NA 4236 0
1471856400.0 50206.0 NA 106 0 NA 162 0 NA 1489 0 NA 3152 0
1471856400.0 50207.0 NA 101 0 NA 156 0 NA 1450 0 NA 3017 0
1471856400.0 50208.0 NA 108 0 NA 165 0 NA 1627 0 NA 3496 0
1471856400.0 503.0 27 0 NA 65 0 NA 85 15 NA 156 24 NA
1471856400.0 504.0 27 0 NA 66 0 NA 50 13 NA 126 20 NA
1471856400.0 505.0 28 0 NA 66 0 NA 48 11 NA 54 40 NA
1471856400.0 506.0 27 0 NA 65 0 NA 43 14 NA 115 23 NA
1471856400.0 507.0 27 0 NA 65 0 NA 82 16 NA 104 44 NA
1471856400.0 508.0 28 0 NA 65 0 NA 38 12 NA 74 27 NA
1471856400.0 509.0 26 0 NA 64 0 NA 30 11 NA 35 18 NA
1471856400.0 510.0 27 0 NA 65 0 NA 133 15 NA 145 39 NA
1471856400.0 512.0 15 37 0 132 66 0 9 41 15 13240 46 25
1471856400.0 513.0 15 35 0 133 67 0 33 34 12 7595 359 20
1471856400.0 514.0 15 28 0 133 68 0 9 47 13 592 77 19
1471856400.0 515.0 15 29 0 132 66 0 10 45 15 11928 433 79
1471856400.0 516.0 15 37 0 133 67 0 10 37 15 14607 194 86
1471856400.0 517.0 15 29 0 133 67 0 9 43 15 2410 111 38
1471856400.0 518.0 15 31 0 133 67 0 10 36 14 4511 46 23
1471856400.0 519.0 15 37 0 133 67 0 31 34 12 9998 108 49
1471856400.0 520.0 15 30 0 133 67 0 10 50 15 2120 77 24
1471856400.0 521.0 15 37 0 133 68 0 10 36 12 6187 196 49
1471856400.0 522.0 15 37 0 132 67 0 21 48 15 15586 139 76
1471856400.0 523.0 15 39 0 133 79 0 9 82 15 1952 91 29
1471856400.0 524.0 15 29 0 133 67 0 9 50 16 2098 252 109
1471856400.0 525.0 15 31 0 133 68 0 11 37 13 16426 69 21
1471856400.0 526.0 15 37 0 132 67 0 11 49 15 16774 111 56
1471856400.0 527.0 15 30 0 133 67 0 9 55 16 2434 64 39
1471856400.0 528.0 15 30 0 133 68 0 10 35 11 16203 44 19
1471856400.0 529.0 15 31 0 132 67 0 10 51 15 16776 58 26
1471856400.0 530.0 15 30 0 133 68 0 10 57 15 1985 69 25
1471856400.0 531.0 53 0 NA 176 0 NA 31 11 NA 38 17 NA
1471856400.0 534.0 35 0 NA 174 0 NA 108 15 NA 227 26 NA
1471856400.0 541.0 41 0 NA 77 0 NA 67 15 NA 80 26 NA
1471856400.0 545.0 38 0 NA 77 0 NA 63 16 NA 77 32 NA
1471856400.0 551.0 15 29 0 133 68 0 10 52 16 1968 225 30
1471856400.0 552.0 15 29 0 133 68 0 9 44 16 2100 239 113
1471856400.0 554.0 15 37 0 133 68 0 12 49 12 4058 172 34
1471856400.0 555.0 15 31 0 133 68 0 9 42 15 1138 70 33
1471856400.0 556.0 15 29 0 133 67 0 10 47 13 788 81 19
1471856400.0 560.0 27 0 NA 65 0 NA 39 11 NA 45 17 NA
1471856400.0 561.0 27 0 NA 65 0 NA 48 12 NA 89 19 NA
1471856400.0 562.0 15 29 0 133 68 0 11 45 12 591 66 18
1471856400.0 6.0 NA 82 0 NA 151 0 NA 1841 0 NA 2202 0
1471856400.0 7.0 33 0 0 73 0 0 351 110 0 428 184 0
1471856400.0 7.1 33 0 0 73 0 0 371 81 0 440 94 0
1471856400.0 8.0 NA 72 0 NA 148 0 NA 1443 0 NA 1483 0
1471856400.0 9.0 NA 82 0 NA 153 0 NA 3818 0 NA 6510 0
