Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1471856400.0 1311.0 NA 156 0 NA 218 0 NA 1024 0 NA 1648 0
1471856400.0 1312.0 NA 165 0 NA 228 0 NA 1243 0 NA 1525 0
1471856400.0 1313.0 NA 165 0 NA 235 0 NA 1230 0 NA 2258 0
1471856400.0 1314.0 NA 158 0 NA 226 0 NA 1242 0 NA 2389 0
1471856400.0 1315.0 NA 157 0 NA 218 0 NA 1004 0 NA 1127 0
1471856400.0 1316.0 NA 160 0 NA 220 0 NA 1099 0 NA 1322 0
1471856400.0 1317.0 NA 156 0 NA 219 0 NA 1098 0 NA 1347 0
1471856400.0 1318.0 NA 156 0 NA 216 0 NA 1048 0 NA 1169 0
1471856400.0 1319.0 NA 160 0 NA 217 0 NA 1053 0 NA 1190 0
1471856400.0 132.0 50 79 0 92 142 0 4141 447 0 4442 576 0
1471856400.0 1320.0 NA 158 0 NA 217 0 NA 1080 0 NA 1158 0
1471856400.0 1321.0 NA 155 0 NA 218 0 NA 987 0 NA 1025 0
1471856400.0 1322.0 NA 157 0 NA 218 0 NA 1072 0 NA 1434 0
1471856400.0 1323.0 NA 158 0 NA 215 0 NA 639 0 NA 694 0
1471856400.0 1324.0 NA 163 0 NA 232 0 NA 1301 0 NA 1651 0
1471856400.0 1325.0 NA 170 0 NA 230 0 NA 855 0 NA 954 0
1471856400.0 1325.1 NA 166 0 NA 231 0 NA 785 0 NA 862 0
1471856400.0 1325.2 NA 166 0 NA 232 0 NA 1283 0 NA 1572 0
1471856400.0 1325.3 NA 167 0 NA 232 0 NA 798 0 NA 916 0
1471856400.0 1326.0 NA 161 0 NA 225 0 NA 1167 0 NA 1378 0
1471856400.0 1327.0 NA 161 0 NA 222 0 NA 1105 0 NA 1306 0
1471856400.0 1328.0 NA 174 0 NA 226 0 NA 1261 0 NA 1382 0
1471856400.0 1329.0 NA 164 0 NA 226 0 NA 990 0 NA 1028 0
1471856400.0 133.0 54 82 0 99 144 0 10971 735 0 11281 750 0
1471856400.0 1330.0 NA 159 0 NA 222 0 NA 1209 0 NA 1787 0
1471856400.0 1331.0 NA 165 0 NA 224 0 NA 1144 0 NA 1323 0
1471856400.0 1332.0 NA 160 0 NA 221 0 NA 1174 0 NA 1602 0
1471856400.0 1333.0 NA 162 0 NA 224 0 NA 965 0 NA 1014 0
1471856400.0 1334.0 NA 161 0 NA 228 0 NA 1135 0 NA 1288 0
1471856400.0 1335.0 NA 165 0 NA 225 0 NA 1152 0 NA 1263 0
1471856400.0 1336.0 NA 163 0 NA 229 0 NA 1353 0 NA 2109 0
1471856400.0 1337.0 NA 169 0 NA 231 0 NA 1617 0 NA 2250 0
1471856400.0 1338.0 NA 163 0 NA 230 0 NA 1273 0 NA 1527 0
1471856400.0 1339.0 NA 163 0 NA 230 0 NA 1435 0 NA 1851 0
1471856400.0 134.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1471856400.0 134.701 NA 38 0 NA 87 0 NA 212 0 NA 322 0
1471856400.0 134.702 NA 38 0 NA 85 0 NA 251 0 NA 567 0
1471856400.0 134.703 NA 45 0 NA 88 0 NA 268 0 NA 294 0
1471856400.0 134.704 NA 41 0 NA 84 0 NA 268 0 NA 354 0
1471856400.0 134.705 NA 38 0 NA 88 0 NA 264 0 NA 327 0
1471856400.0 134.706 NA 43 0 NA 87 0 NA 278 0 NA 307 0
1471856400.0 134.707 NA 43 0 NA 88 0 NA 240 0 NA 438 0
1471856400.0 134.708 NA 39 0 NA 88 0 NA 259 0 NA 739 0
1471856400.0 134.709 NA 41 0 NA 89 0 NA 257 0 NA 673 0
1471856400.0 134.71 NA 40 0 NA 81 0 NA 229 0 NA 264 0
1471856400.0 134.801 NA 44 0 NA 86 0 NA 262 0 NA 291 0
1471856400.0 134.802 NA 36 0 NA 88 0 NA 169 0 NA 303 0
1471856400.0 134.803 NA 41 0 NA 87 0 NA 189 0 NA 241 0
1471856400.0 134.804 NA 44 0 NA 86 0 NA 190 0 NA 268 0
1471856400.0 134.805 NA 44 0 NA 88 0 NA 197 0 NA 228 0
1471856400.0 134.806 NA 40 0 NA 85 0 NA 199 0 NA 228 0
1471856400.0 134.807 NA 85 0 NA 144 0 NA 605 0 NA 918 0
1471856400.0 134.808 NA 83 0 NA 144 0 NA 628 0 NA 736 0
1471856400.0 134.809 NA 38 0 NA 86 0 NA 297 0 NA 652 0
