Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1470690000.0 1.0 48 63 120 NA NA NA NA NA 93 135 171 NA NA NA NA NA 2333 310 375 NA NA NA NA NA 2400 342 412 NA NA NA NA NA
1470690000.0 10.0 NA 82 199 0 NA NA NA NA NA 152 257 0 NA NA NA NA NA 4669 3723 1241 NA NA NA NA NA 5287 3788 1257 NA NA NA NA
1470690000.0 1000.0 NA 209 123 0 43 NA NA NA NA 273 183 0 78 NA NA NA NA 3845 797 1142 232 NA NA NA NA 3985 863 1159 294 NA NA NA
1470690000.0 1001.0 NA 187 175 0 0 0 0 0 NA 245 216 0 0 0 0 0 NA 3826 900 11 115 1060 51 1068 NA 4243 1074 76 120 1100 63 1082
1470690000.0 1002.0 NA 211 58 NA NA NA NA NA NA 277 98 NA NA NA NA NA NA 1952 135 NA NA NA NA NA NA 2133 161 NA NA NA NA NA
1470690000.0 10021.0 NA 98 215 0 NA NA NA NA NA 175 310 0 NA NA NA NA NA 422 927 415 NA NA NA NA NA 516 1025 427 NA NA NA NA
1470690000.0 10023.0 NA 100 211 0 NA NA NA NA NA 176 310 0 NA NA NA NA NA 396 740 383 NA NA NA NA NA 452 856 414 NA NA NA NA
1470690000.0 10024.0 NA 103 222 0 NA NA NA NA NA 176 311 0 NA NA NA NA NA 988 2055 784 NA NA NA NA NA 1201 2723 805 NA NA NA NA
1470690000.0 10024.1 NA 102 141 0 NA NA NA NA NA 176 212 0 NA NA NA NA NA 439 448 279 NA NA NA NA NA 485 501 292 NA NA NA NA
1470690000.0 10024.2 NA 103 216 0 NA NA NA NA NA 176 310 0 NA NA NA NA NA 439 919 416 NA NA NA NA NA 506 1121 431 NA NA NA NA
1470690000.0 10024.3 NA 103 137 0 NA NA NA NA NA 176 208 0 NA NA NA NA NA 469 500 286 NA NA NA NA NA 563 939 300 NA NA NA NA
1470690000.0 10024.4 NA 102 215 0 NA NA NA NA NA 176 309 0 NA NA NA NA NA 441 910 418 NA NA NA NA NA 502 1108 431 NA NA NA NA
1470690000.0 10024.5 NA 108 132 0 NA NA NA NA NA 176 208 0 NA NA NA NA NA 473 546 275 NA NA NA NA NA 644 796 286 NA NA NA NA
1470690000.0 10025.0 NA 104 212 0 NA NA NA NA NA 176 311 0 NA NA NA NA NA 433 802 405 NA NA NA NA NA 530 1086 416 NA NA NA NA
1470690000.0 10026.0 NA 102 231 0 NA NA NA NA NA 176 311 0 NA NA NA NA NA 1002 2144 882 NA NA NA NA NA 1188 2533 903 NA NA NA NA
