Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1471856400.0 10425.0 91 81 140 0 130 133 182 0 6900 816 600 231 9200 1328 716 254
1471856400.0 1303.0 60 146 163 NA 106 201 219 NA 10828 515 982 NA 13864 1186 1095 NA
1471856400.0 134.803 NA 38 229 0 NA 88 280 0 NA 346 10783 743 NA 522 12889 767
1471856400.0 134.804 NA 38 232 0 NA 87 292 0 NA 351 12241 707 NA 496 13854 724
1471856400.0 134.811 NA 39 229 0 NA 86 288 0 NA 355 12075 704 NA 449 13730 724
1471856400.0 134.99601 NA 35 226 0 NA 86 283 0 NA 203 8765 507 NA 316 11847 535
1471856400.0 135.1 222 0 104 NA 305 0 144 NA 1304 382 233 NA 4510 420 379 NA
1471856400.0 135.11 232 0 105 NA 315 0 146 NA 1795 392 319 NA 4805 426 453 NA
1471856400.0 135.2 219 0 107 NA 283 0 142 NA 699 313 212 NA 861 330 288 NA
1471856400.0 135.4 216 0 102 NA 301 0 143 NA 1251 373 222 NA 4508 421 352 NA
1471856400.0 135.6 216 0 103 NA 303 0 143 NA 1313 371 239 NA 4533 417 365 NA
1471856400.0 136.722 NA 168 250 0 NA 227 323 0 NA 4208 8899 674 NA 4858 11027 4185
1471856400.0 1360.0 72 168 235 0 156 216 303 0 3292 468 753 1087 5464 515 4155 1112
1471856400.0 250402.0 228 0 105 NA 319 0 146 NA 1774 374 341 NA 4925 418 467 NA
1471856400.0 250403.0 236 0 107 NA 319 0 146 NA 1460 354 290 NA 1776 372 349 NA
1471856400.0 250408.0 230 0 105 NA 319 0 146 NA 1678 371 321 NA 5031 403 475 NA
1471856400.0 25405.0 265 0 105 NA 369 0 145 NA 5669 587 486 NA 7825 610 580 NA
1471856400.0 25408.0 276 0 103 NA 380 0 149 NA 5727 370 494 NA 8965 409 593 NA
1471856400.0 280.0 77 79 187 0 167 143 254 0 9559 652 855 834 9839 764 3258 862
1471856400.0 3.0 53 65 123 NA 99 135 177 NA 12110 479 1784 NA 12538 660 1818 NA
1471856400.0 34.0 57 74 192 0 97 143 254 0 8095 497 684 594 10060 628 759 650
1471856400.0 4.65 NA 32 222 0 NA 78 286 0 NA 180 11604 505 NA 281 14143 520
1471856400.0 4.77 NA 60 224 0 NA 95 285 0 NA 161 10328 499 NA 244 13301 537
1471856400.0 500202.0 NA 120 236 0 NA 201 313 0 NA 5607 2334 636 NA 6889 5233 678
1471856400.0 500204.0 NA 124 235 0 NA 189 308 0 NA 5266 1945 607 NA 6480 5034 669
1471856400.0 500206.0 NA 120 236 0 NA 201 304 0 NA 8442 3161 827 NA 9190 5693 861
1471856400.0 50202.0 NA 121 277 0 NA 166 355 0 NA 2439 5353 920 NA 4535 7916 942
