Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1471730400.0 10225.0 NA 145 291 0 NA 204 388 0 NA 2865 4273 573 NA 10922 14366 636
1471730400.0 10424.0 84 78 151 0 129 120 197 0 8454 919 835 438 8952 980 891 457
1471730400.0 108.0 51 74 195 NA 97 142 254 NA 5774 342 547 NA 7430 430 581 NA
1471730400.0 11226.0 94 208 86 NA 142 255 128 NA 23644 3127 1213 NA 25811 3300 1336 NA
1471730400.0 117.0 50 81 195 NA 96 142 254 NA 6350 314 485 NA 6636 340 539 NA
1471730400.0 1303.0 57 145 175 NA 105 201 218 NA 9987 508 847 NA 12683 923 905 NA
1471730400.0 133.0 53 82 190 NA 97 142 254 NA 9799 531 991 NA 9961 560 1073 NA
1471730400.0 134.803 NA 40 220 0 NA 87 279 0 NA 227 8920 629 NA 361 9319 644
1471730400.0 134.805 NA 39 236 0 NA 88 292 0 NA 187 7319 550 NA 287 7501 647
1471730400.0 134.806 NA 42 234 0 NA 85 290 0 NA 188 8154 482 NA 238 10526 498
1471730400.0 134.808 NA 82 242 0 NA 144 302 0 NA 602 7504 513 NA 719 8827 541
1471730400.0 134.809 NA 35 216 0 NA 84 280 0 NA 167 6157 407 NA 204 7260 423
1471730400.0 134.81 NA 38 221 0 NA 85 280 0 NA 162 6279 452 NA 212 6803 466
1471730400.0 134.811 NA 44 228 0 NA 85 287 0 NA 248 10033 580 NA 379 10541 596
1471730400.0 134.99601 NA 42 227 0 NA 85 281 0 NA 190 8347 481 NA 238 10547 499
1471730400.0 135.1 229 0 101 NA 304 0 143 NA 905 301 201 NA 1244 363 446 NA
1471730400.0 135.2 219 0 107 NA 282 0 141 NA 875 379 231 NA 979 403 290 NA
1471730400.0 136.724 NA 164 242 0 NA 229 304 0 NA 3831 8841 559 NA 4186 15302 570
1471730400.0 136.731 NA 165 237 0 NA 224 303 0 NA 3521 7783 566 NA 3941 13699 597
1471730400.0 136.732 NA 159 232 0 NA 223 293 0 NA 2214 5887 644 NA 2496 6212 664
1471730400.0 1360.0 70 168 238 0 155 216 302 0 3217 476 665 1039 5262 537 1152 1059
1471730400.0 204.0 50 81 203 0 96 149 268 0 8424 722 1258 714 8638 1131 1538 733
1471730400.0 250200.0 NA 230 278 0 NA 322 355 0 NA 11602 2693 960 NA 15659 2798 978
1471730400.0 250200.1 59 195 171 NA 104 268 233 NA 7700 1824 1743 NA 8260 2599 1837 NA
1471730400.0 250202.0 NA 257 264 0 NA 361 364 0 NA 17966 4548 1227 NA 19333 6282 1785
1471730400.0 250205.0 NA 227 273 0 NA 343 348 0 NA 15328 2909 1251 NA 16690 3565 2246
1471730400.0 250402.0 239 0 101 NA 320 0 145 NA 1996 452 471 NA 2175 467 845 NA
1471730400.0 250407.0 220 0 102 NA 297 0 145 NA 800 247 227 NA 1103 293 471 NA
1471730400.0 250409.0 240 0 112 NA 330 0 148 NA 2704 372 604 NA 3115 386 647 NA
1471730400.0 25202.0 NA 204 322 0 NA 281 406 0 NA 2957 3499 988 NA 10037 8963 1013
1471730400.0 25206.0 NA 210 311 0 NA 280 411 0 NA 3544 4472 1274 NA 9468 11152 1730
1471730400.0 25207.0 NA 205 311 0 NA 273 410 0 NA 2579 2819 955 NA 6952 10443 981
