Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1471730400.0 205.0 NA 84 199 0 NA NA 153 273 0 NA NA 613 908 479 NA NA 1019 1247 567 NA
1471730400.0 21.0 NA 83 204 0 NA NA 152 256 0 NA NA 1603 1118 481 NA NA 1678 1181 585 NA
1471730400.0 250200.0 NA 228 277 0 NA NA 339 354 0 NA NA 13321 2184 720 NA NA 14771 2260 730 NA
1471730400.0 250202.0 NA 241 290 0 NA NA 339 365 0 NA NA 14997 2526 710 NA NA 16336 2616 718 NA
1471730400.0 250203.0 NA 226 271 0 NA NA 342 348 0 NA NA 13699 1927 759 NA NA 14584 1999 767 NA
1471730400.0 250204.0 NA 224 273 0 NA NA 359 354 0 NA NA 13601 1952 705 NA NA 14218 2031 718 NA
1471730400.0 250205.0 NA 223 272 0 NA NA 339 353 0 NA NA 13120 1747 729 NA NA 14567 1823 738 NA
1471730400.0 250399.0 129 NA NA NA NA 220 NA NA NA NA 950 NA NA NA NA 1457 NA NA NA NA
1471730400.0 25200.0 NA 205 312 0 NA NA 292 409 0 NA NA 3104 3352 966 NA NA 5702 8359 998 NA
1471730400.0 25202.0 NA 201 319 0 NA NA 284 401 0 NA NA 3428 3220 894 NA NA 7378 6768 910 NA
1471730400.0 25203.0 NA 195 306 0 NA NA 279 408 0 NA NA 3030 3136 1007 NA NA 5726 8099 1028 NA
1471730400.0 25204.0 NA 202 319 0 NA NA 276 409 0 NA NA 3354 3383 865 NA NA 5667 5635 879 NA
1471730400.0 25205.0 NA 201 310 0 NA NA 279 412 0 NA NA 3168 3335 1044 NA NA 5580 8112 1069 NA
1471730400.0 25206.0 NA 197 312 0 NA NA 278 404 0 NA NA 3198 3005 772 NA NA 8083 7332 778 NA
1471730400.0 25207.0 NA 201 323 0 NA NA 276 411 0 NA NA 2994 2884 817 NA NA 6134 4902 831 NA
1471730400.0 25208.0 NA 212 310 0 NA NA 283 410 0 NA NA 3278 4513 1035 NA NA 5636 8746 1059 NA
1471730400.0 25209.0 NA 207 319 0 NA NA 278 412 0 NA NA 3203 3740 1019 NA NA 5955 9710 1098 NA
1471730400.0 25210.0 70 199 312 0 NA 156 268 397 0 NA 2619 1157 1629 952 NA 4231 2453 4581 1312 NA
1471730400.0 25211.0 59 205 320 0 NA 156 279 408 0 NA 5495 2795 2614 750 NA 8227 5920 4604 760 NA
1471730400.0 25212.0 59 201 316 0 NA 156 275 406 0 NA 5671 2573 2224 698 NA 8839 5891 3938 707 NA
1471730400.0 25213.0 59 204 320 0 NA 156 279 407 0 NA 7730 2567 2550 726 NA 10934 4878 4655 742 NA
1471730400.0 25402.0 266 0 100 NA NA 370 0 145 NA NA 3886 328 277 NA NA 10503 361 357 NA NA
1471730400.0 4.22 NA 126 52 57 0 NA 205 94 105 0 NA 718 79 98 158 NA 917 120 166 170
1471730400.0 4.26 NA 57 206 0 NA NA 96 267 0 NA NA 90 2376 455 NA NA 125 4294 868 NA
1471730400.0 4.76 NA 54 220 0 NA NA 100 281 0 NA NA 150 8425 359 NA NA 265 8713 368 NA
1471730400.0 4007.0 42 85 196 NA NA 90 150 264 NA NA 659 234 388 NA NA 710 334 425 NA NA
1471730400.0 5.3 165 0 NA NA NA 226 0 NA NA NA 506 254 NA NA NA 546 278 NA NA NA
1471730400.0 5.4 180 0 NA NA NA 242 0 NA NA NA 689 287 NA NA NA 763 329 NA NA NA
1471730400.0 5.5 179 0 NA NA NA 243 0 NA NA NA 737 294 NA NA NA 791 302 NA NA NA
1471730400.0 5.7 177 0 NA NA NA 242 0 NA NA NA 654 293 NA NA NA 700 306 NA NA NA
1471730400.0 500199.0 105 NA NA NA NA 168 NA NA NA NA 3527 NA NA NA NA 5482 NA NA NA NA
1471730400.0 50200.0 NA 104 260 0 NA NA 164 341 0 NA NA 1866 2964 840 NA NA 3806 4965 860 NA
1471730400.0 50205.0 NA 104 266 0 NA NA 165 345 0 NA NA 1959 3564 843 NA NA 3597 5079 861 NA
1471730400.0 50206.0 NA 106 262 0 NA NA 165 344 0 NA NA 2030 3645 879 NA NA 4070 5564 902 NA
1471730400.0 50207.0 NA 101 262 0 NA NA 160 337 0 NA NA 1876 3275 816 NA NA 3342 5137 834 NA
1471730400.0 503.0 27 0 NA NA NA 64 0 NA NA NA 68 12 NA NA NA 81 24 NA NA NA
1471730400.0 504.0 27 0 NA NA NA 65 0 NA NA NA 40 12 NA NA NA 79 37 NA NA NA
1471730400.0 505.0 32 0 NA NA NA 65 0 NA NA NA 39 11 NA NA NA 51 18 NA NA NA
1471730400.0 506.0 27 0 NA NA NA 64 0 NA NA NA 35 12 NA NA NA 44 35 NA NA NA
1471730400.0 507.0 35 0 NA NA NA 64 0 NA NA NA 75 12 NA NA NA 97 21 NA NA NA
1471730400.0 508.0 27 0 NA NA NA 64 0 NA NA NA 31 13 NA NA NA 52 21 NA NA NA
1471730400.0 509.0 27 0 NA NA NA 64 0 NA NA NA 27 10 NA NA NA 41 15 NA NA NA
1471730400.0 510.0 26 0 NA NA NA 64 0 NA NA NA 164 12 NA NA NA 211 21 NA NA NA
1471730400.0 512.0 14 36 0 NA NA 132 67 0 NA NA 12 34 13 NA NA 3360 61 25 NA NA
1471730400.0 514.0 14 29 0 NA NA 132 67 0 NA NA 8 37 12 NA NA 579 93 19 NA NA
1471730400.0 517.0 14 31 0 NA NA 132 66 0 NA NA 8 35 12 NA NA 2665 93 17 NA NA
1471730400.0 520.0 14 30 0 NA NA 132 67 0 NA NA 9 42 13 NA NA 2621 60 20 NA NA
1471730400.0 523.0 14 40 0 NA NA 132 78 0 NA NA 8 76 11 NA NA 1677 97 19 NA NA
1471730400.0 524.0 14 31 0 NA NA 132 67 0 NA NA 8 38 12 NA NA 2664 97 18 NA NA
1471730400.0 527.0 14 31 0 NA NA 132 67 0 NA NA 10 41 12 NA NA 2682 96 19 NA NA
1471730400.0 528.0 14 31 0 NA NA 132 67 0 NA NA 8 27 14 NA NA 4862 77 32 NA NA
1471730400.0 530.0 14 31 0 NA NA 132 67 0 NA NA 8 46 12 NA NA 2665 106 25 NA NA
1471730400.0 531.0 53 0 NA NA NA 175 0 NA NA NA 36 12 NA NA NA 58 37 NA NA NA
1471730400.0 534.0 35 0 NA NA NA 175 0 NA NA NA 66 15 NA NA NA 106 23 NA NA NA
1471730400.0 541.0 37 0 NA NA NA 76 0 NA NA NA 60 11 NA NA NA 85 16 NA NA NA
1471730400.0 545.0 37 0 NA NA NA 76 0 NA NA NA 56 12 NA NA NA 84 20 NA NA NA
1471730400.0 551.0 14 29 0 NA NA 132 67 0 NA NA 9 49 12 NA NA 1874 86 25 NA NA
1471730400.0 552.0 14 36 0 NA NA 132 67 0 NA NA 8 42 13 NA NA 2532 52 22 NA NA
1471730400.0 555.0 14 29 0 NA NA 132 67 0 NA NA 8 36 13 NA NA 1216 73 26 NA NA
1471730400.0 556.0 14 34 0 NA NA 132 67 0 NA NA 9 48 11 NA NA 756 116 18 NA NA
1471730400.0 560.0 27 0 NA NA NA 64 0 NA NA NA 38 14 NA NA NA 64 24 NA NA NA
1471730400.0 561.0 27 0 NA NA NA 64 0 NA NA NA 41 12 NA NA NA 86 19 NA NA NA
1471730400.0 562.0 14 32 0 NA NA 132 67 0 NA NA 9 42 13 NA NA 642 120 19 NA NA
1471730400.0 7.1 32 0 0 0 0 72 0 0 0 0 377 63 114 21 144 404 100 165 68 154
