Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470776400.0 1.0 51 70 120 NA NA 97 143 168 NA NA 1804 350 382 NA NA 1949 400 578 NA NA
1470776400.0 101.0 80 NA NA NA NA 136 NA NA NA NA 2003 NA NA NA NA 2089 NA NA NA NA
1470776400.0 102.0 79 NA NA NA NA 135 NA NA NA NA 1492 NA NA NA NA 1623 NA NA NA NA
1470776400.0 103.0 46 73 171 NA NA 91 143 224 NA NA 807 231 470 NA NA 893 255 512 NA NA
1470776400.0 105.0 50 74 18 NA NA 97 143 53 NA NA 2018 412 4 NA NA 2052 430 8 NA NA
1470776400.0 106.0 37 0 0 NA NA 76 0 0 NA NA 474 101 227 NA NA 486 110 242 NA NA
1470776400.0 107.0 58 82 173 NA NA 97 143 227 NA NA 3328 372 543 NA NA 3611 408 569 NA NA
1470776400.0 108.0 56 85 172 NA NA 100 143 228 NA NA 5340 443 783 NA NA 5488 464 835 NA NA
1470776400.0 109.0 54 76 177 NA NA 100 143 228 NA NA 8946 709 1399 NA NA 9225 730 1439 NA NA
1470776400.0 110.0 44 71 168 NA NA 88 143 226 NA NA 589 339 487 NA NA 672 416 617 NA NA
1470776400.0 111.0 51 82 168 NA NA 96 143 225 NA NA 1987 301 549 NA NA 2179 382 837 NA NA
1470776400.0 112.0 52 73 171 NA NA 98 143 227 NA NA 3030 353 579 NA NA 3112 461 773 NA NA
1470776400.0 113.0 54 74 171 NA NA 98 144 227 NA NA 3331 376 572 NA NA 3503 495 691 NA NA
1470776400.0 114.0 52 76 170 NA NA 98 143 227 NA NA 3311 419 654 NA NA 3591 484 681 NA NA
1470776400.0 115.0 53 73 170 NA NA 99 143 227 NA NA 4423 442 684 NA NA 4609 460 720 NA NA
1470776400.0 116.0 55 74 174 NA NA 99 143 227 NA NA 6272 697 1046 NA NA 6815 815 1103 NA NA
1470776400.0 117.0 55 82 171 NA NA 100 143 227 NA NA 6093 472 794 NA NA 6454 693 864 NA NA
1470776400.0 118.0 53 80 171 NA NA 99 143 227 NA NA 6733 717 1158 NA NA 6932 743 1218 NA NA
1470776400.0 119.0 53 78 173 NA NA 97 143 227 NA NA 3107 389 583 NA NA 3239 499 708 NA NA
1470776400.0 120.0 44 70 167 NA NA 87 143 226 NA NA 490 318 493 NA NA 502 333 553 NA NA
1470776400.0 121.0 57 73 172 NA NA 99 143 227 NA NA 5581 482 799 NA NA 5856 728 950 NA NA
1470776400.0 122.0 50 72 167 NA NA 96 143 224 NA NA 1243 275 484 NA NA 1362 311 669 NA NA
1470776400.0 123.1 158 NA NA NA NA 213 NA NA NA NA 677 NA NA NA NA 724 NA NA NA NA
1470776400.0 123.2 153 NA NA NA NA 214 NA NA NA NA 801 NA NA NA NA 831 NA NA NA NA
1470776400.0 123.3 143 NA NA NA NA 202 NA NA NA NA 498 NA NA NA NA 549 NA NA NA NA
1470776400.0 124.1 149 NA NA NA NA 205 NA NA NA NA 519 NA NA NA NA 566 NA NA NA NA
1470776400.0 124.2 156 NA NA NA NA 212 NA NA NA NA 614 NA NA NA NA 664 NA NA NA NA
1470776400.0 124.4 148 NA NA NA NA 205 NA NA NA NA 505 NA NA NA NA 530 NA NA NA NA
1470776400.0 124.5 149 NA NA NA NA 205 NA NA NA NA 506 NA NA NA NA 558 NA NA NA NA
1470776400.0 124.6 145 NA NA NA NA 202 NA NA NA NA 520 NA NA NA NA 543 NA NA NA NA
1470776400.0 125.0 59 75 175 NA NA 99 144 227 NA NA 6175 701 1043 NA NA 6361 719 1107 NA NA
1470776400.0 126.0 44 70 167 NA NA 84 143 226 NA NA 1045 347 514 NA NA 1136 369 700 NA NA
1470776400.0 127.0 51 71 167 NA NA 88 143 226 NA NA 1300 319 531 NA NA 1398 367 750 NA NA
1470776400.0 128.0 43 71 168 NA NA 83 143 226 NA NA 445 331 497 NA NA 466 352 604 NA NA
1470776400.0 129.0 44 70 167 NA NA 83 143 226 NA NA 491 321 466 NA NA 500 359 544 NA NA
1470776400.0 130.0 44 69 169 NA NA 88 143 226 NA NA 609 337 462 NA NA 631 426 489 NA NA
1470776400.0 1301.0 57 110 147 NA NA 103 171 206 NA NA 1379 556 571 NA NA 1738 1121 912 NA NA
1470776400.0 1302.0 64 117 148 NA NA 108 171 209 NA NA 7030 762 981 NA NA 8968 1599 2617 NA NA
1470776400.0 1303.0 67 134 163 NA NA 109 171 214 NA NA 11969 847 1541 NA NA 12458 1701 1602 NA NA
1470776400.0 131.0 45 71 169 NA NA 89 143 226 NA NA 1319 341 467 NA NA 1388 447 490 NA NA
1470776400.0 132.0 50 72 169 NA NA 95 143 226 NA NA 2705 380 603 NA NA 2848 472 914 NA NA
1470776400.0 133.0 56 74 175 NA NA 100 143 229 NA NA 10182 700 1377 NA NA 10444 732 1422 NA NA
1470776400.0 135.1 184 0 91 NA NA 247 0 142 NA NA 1746 321 569 NA NA 2390 345 659 NA NA
1470776400.0 135.11 186 0 92 NA NA 253 0 143 NA NA 1327 255 401 NA NA 2569 271 761 NA NA
1470776400.0 135.12 180 0 90 NA NA 247 0 142 NA NA 837 176 261 NA NA 1409 187 323 NA NA
1470776400.0 135.2 168 0 86 NA NA 229 0 142 NA NA 1161 266 450 NA NA 1742 290 542 NA NA
1470776400.0 135.3 170 0 87 NA NA 229 0 142 NA NA 1182 266 452 NA NA 1750 288 543 NA NA
1470776400.0 135.4 183 0 90 NA NA 246 0 142 NA NA 1436 311 502 NA NA 2160 334 630 NA NA
1470776400.0 135.5 177 0 92 NA NA 245 0 142 NA NA 1410 300 512 NA NA 2003 332 588 NA NA
1470776400.0 135.6 181 0 91 NA NA 248 0 142 NA NA 879 178 268 NA NA 1451 186 330 NA NA
1470776400.0 135.7 179 0 97 NA NA 246 0 142 NA NA 1381 299 496 NA NA 1725 324 612 NA NA
1470776400.0 135.8 75 NA NA NA NA 128 NA NA NA NA 489 NA NA NA NA 1286 NA NA NA NA
1470776400.0 135.9 180 0 90 NA NA 247 0 142 NA NA 1343 306 501 NA NA 1503 327 661 NA NA
1470776400.0 2.0 56 73 123 NA NA 99 143 171 NA NA 5544 446 588 NA NA 5687 474 616 NA NA
1470776400.0 204.0 54 0 NA NA NA 97 0 NA NA NA 3891 0 NA NA NA 5779 0 NA NA NA
1470776400.0 250200.1 61 0 NA NA NA 107 0 NA NA NA 6924 0 NA NA NA 7861 0 NA NA NA
1470776400.0 250399.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1470776400.0 250400.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1470776400.0 250402.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1470776400.0 250403.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1470776400.0 250405.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1470776400.0 250406.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1470776400.0 250407.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1470776400.0 250408.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1470776400.0 250409.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1470776400.0 25400.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1470776400.0 25402.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1470776400.0 25403.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1470776400.0 25405.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1470776400.0 25406.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
