Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1470776400.0 1.0 54 83 131 NA NA NA NA NA 98 145 185 NA NA NA NA NA 3525 551 1079 NA NA NA NA NA 3630 571 1110 NA NA NA NA NA
1470776400.0 10.0 NA 80 192 0 NA NA NA NA NA 154 253 0 NA NA NA NA NA 1845 1815 433 NA NA NA NA NA 2018 1872 449 NA NA NA NA
1470776400.0 1000.0 NA 214 117 0 42 NA NA NA NA 279 179 0 79 NA NA NA NA 3132 398 426 117 NA NA NA NA 3352 458 455 140 NA NA NA
1470776400.0 1001.0 NA 178 166 0 0 0 0 0 NA 241 217 0 0 0 0 0 NA 1779 382 6 52 342 36 352 NA 1843 404 14 70 352 62 359
1470776400.0 1002.0 NA 209 65 NA NA NA NA NA NA 279 100 NA NA NA NA NA NA 3535 234 NA NA NA NA NA NA 3592 245 NA NA NA NA NA
1470776400.0 1003.0 NA 177 0 NA NA NA NA NA NA 251 0 NA NA NA NA NA NA 5217 553 NA NA NA NA NA NA 5327 597 NA NA NA NA NA
1470776400.0 1004.0 NA 177 140 0 0 0 0 NA NA 236 179 0 0 0 0 NA NA 425 181 5 53 371 375 NA NA 505 192 8 58 375 380 NA
1470776400.0 101.0 80 NA NA NA NA NA NA NA 140 NA NA NA NA NA NA NA 1041 NA NA NA NA NA NA NA 1076 NA NA NA NA NA NA NA
1470776400.0 102.0 81 NA NA NA NA NA NA NA 139 NA NA NA NA NA NA NA 641 NA NA NA NA NA NA NA 696 NA NA NA NA NA NA NA
1470776400.0 103.0 47 79 185 NA NA NA NA NA 92 147 250 NA NA NA NA NA 1528 330 823 NA NA NA NA NA 1664 352 866 NA NA NA NA NA
1470776400.0 105.0 54 86 24 NA NA NA NA NA 98 147 54 NA NA NA NA NA 3930 631 4 NA NA NA NA NA 4084 654 12 NA NA NA NA NA
1470776400.0 106.0 42 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 324 71 137 NA NA NA NA NA 415 93 207 NA NA NA NA NA
1470776400.0 107.0 52 79 186 NA NA NA NA NA 99 147 250 NA NA NA NA NA 5254 351 524 NA NA NA NA NA 5522 395 580 NA NA NA NA NA
1470776400.0 108.0 58 87 192 NA NA NA NA NA 102 147 250 NA NA NA NA NA 9539 662 940 NA NA NA NA NA 9811 685 991 NA NA NA NA NA
1470776400.0 109.0 56 81 189 NA NA NA NA NA 102 147 250 NA NA NA NA NA 11984 846 1116 NA NA NA NA NA 12195 876 1171 NA NA NA NA NA
1470776400.0 11.0 NA 76 200 0 57 NA NA NA NA 149 260 0 90 NA NA NA NA 1438 710 430 27 NA NA NA NA 1668 783 444 56 NA NA NA
1470776400.0 110.0 46 77 186 NA NA NA NA NA 90 147 250 NA NA NA NA NA 1114 832 773 NA NA NA NA NA 1132 1046 811 NA NA NA NA NA
1470776400.0 1102.0 NA 80 199 114 66 NA NA NA NA 149 258 172 113 NA NA NA NA 1938 2797 2690 203 NA NA NA NA 2041 2996 2887 210 NA NA NA
1470776400.0 111.0 52 76 187 NA NA NA NA NA 98 147 250 NA NA NA NA NA 3249 261 390 NA NA NA NA NA 3455 292 416 NA NA NA NA NA
1470776400.0 112.0 54 75 186 NA NA NA NA NA 100 147 250 NA NA NA NA NA 6762 713 826 NA NA NA NA NA 6949 741 863 NA NA NA NA NA
1470776400.0 113.0 54 78 186 NA NA NA NA NA 100 147 250 NA NA NA NA NA 5640 344 425 NA NA NA NA NA 5898 405 598 NA NA NA NA NA
1470776400.0 114.0 53 78 186 NA NA NA NA NA 100 147 250 NA NA NA NA NA 5070 349 527 NA NA NA NA NA 5400 409 583 NA NA NA NA NA
1470776400.0 115.0 56 87 189 NA NA NA NA NA 101 147 250 NA NA NA NA NA 7944 635 784 NA NA NA NA NA 8130 654 836 NA NA NA NA NA
1470776400.0 116.0 55 86 190 NA NA NA NA NA 101 147 250 NA NA NA NA NA 7373 623 913 NA NA NA NA NA 7552 645 953 NA NA NA NA NA
