Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1471942800.0 112.0 55 87 187 NA 100 147 250 NA 7642 652 903 NA 8005 686 950 NA
1471942800.0 115.0 56 75 188 NA 101 147 250 NA 9177 738 972 NA 9604 793 1044 NA
1471942800.0 116.0 56 75 188 NA 102 147 250 NA 8739 793 986 NA 9246 878 1066 NA
1471942800.0 133.0 58 85 191 NA 103 147 250 NA 11112 690 1046 NA 12973 1025 1108 NA
1471942800.0 134.703 NA 45 219 0 NA 87 309 0 NA 278 10430 724 NA 375 12719 738
1471942800.0 134.704 NA 43 217 0 NA 83 301 0 NA 279 9945 719 NA 387 12157 744
1471942800.0 134.705 NA 47 220 0 NA 87 309 0 NA 287 10931 706 NA 411 13377 727
1471942800.0 134.707 NA 46 214 0 NA 86 297 0 NA 272 9816 701 NA 375 12079 724
1471942800.0 134.909 NA 45 219 0 NA 87 289 0 NA 332 10088 700 NA 381 11070 728
1471942800.0 134.911 NA 45 213 0 NA 85 293 0 NA 300 8757 711 NA 374 11188 762
1471942800.0 135.6 219 0 107 NA 297 0 158 NA 1436 584 425 NA 2393 605 599 NA
1471942800.0 136.724 NA 171 243 0 NA 231 325 0 NA 3550 8396 610 NA 4178 10732 646
1471942800.0 136.725 NA 171 243 0 NA 229 329 0 NA 3039 7249 623 NA 3722 10051 642
1471942800.0 136.734 NA 170 237 0 NA 226 329 0 NA 3119 7308 610 NA 3688 10104 631
1471942800.0 13992501.0 NA 211 306 0 NA 272 408 0 NA 2309 3601 991 NA 3150 8871 1029
1471942800.0 25210.0 72 204 322 0 159 278 402 0 4333 1860 2778 937 6122 4437 3365 3336
1471942800.0 302.0 73 183 245 0 122 250 315 0 4415 1635 1765 454 5495 1960 2057 490
1471942800.0 4.41 NA 41 223 0 NA 78 285 0 NA 277 9462 677 NA 341 9654 693
1471942800.0 4.51 NA 41 214 0 NA 79 297 0 NA 250 9656 681 NA 364 11543 721
1471942800.0 4.53 NA 41 212 0 NA 79 297 0 NA 262 11488 651 NA 298 13061 687
1471942800.0 4.58 NA 51 229 0 NA 88 283 0 NA 228 8198 803 NA 254 8386 836
1471942800.0 4.71 NA 40 224 0 NA 79 291 0 NA 279 8646 714 NA 390 8859 748
