Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1470949200.0 1.0 53 82 132 NA NA NA NA NA 98 145 185 NA NA NA NA NA 3566 563 1006 NA NA NA NA NA 3826 732 1036 NA NA NA NA NA
1470949200.0 10.0 NA 80 191 0 NA NA NA NA NA 149 252 0 NA NA NA NA NA 3683 3616 921 NA NA NA NA NA 3866 3737 953 NA NA NA NA
1470949200.0 1000.0 NA 226 125 0 45 NA NA NA NA 279 179 0 79 NA NA NA NA 4271 740 687 226 NA NA NA NA 4376 846 715 283 NA NA NA
1470949200.0 1001.0 NA 181 171 0 0 0 0 0 NA 240 217 0 0 0 0 0 NA 3138 684 11 96 1226 57 1197 NA 3197 774 23 100 1256 67 1242
1470949200.0 1002.0 NA 209 59 NA NA NA NA NA NA 279 100 NA NA NA NA NA NA 3810 254 NA NA NA NA NA NA 3907 281 NA NA NA NA NA
1470949200.0 1003.0 NA 177 0 NA NA NA NA NA NA 247 0 NA NA NA NA NA NA 5063 493 NA NA NA NA NA NA 5408 514 NA NA NA NA NA
1470949200.0 1004.0 NA 173 131 0 0 0 0 NA NA 237 179 0 0 0 0 NA NA 438 154 4 42 243 251 NA NA 844 171 62 51 247 255 NA
1470949200.0 101.0 79 NA NA NA NA NA NA NA 140 NA NA NA NA NA NA NA 1293 NA NA NA NA NA NA NA 1471 NA NA NA NA NA NA NA
1470949200.0 102.0 80 NA NA NA NA NA NA NA 139 NA NA NA NA NA NA NA 751 NA NA NA NA NA NA NA 928 NA NA NA NA NA NA NA
1470949200.0 103.0 47 74 185 NA NA NA NA NA 92 147 250 NA NA NA NA NA 701 195 337 NA NA NA NA NA 743 234 538 NA NA NA NA NA
1470949200.0 105.0 53 75 17 NA NA NA NA NA 98 147 54 NA NA NA NA NA 2723 317 3 NA NA NA NA NA 2868 354 24 NA NA NA NA NA
1470949200.0 106.0 37 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 348 73 137 NA NA NA NA NA 439 130 165 NA NA NA NA NA
1470949200.0 107.0 55 81 188 NA NA NA NA NA 99 147 250 NA NA NA NA NA 6780 634 788 NA NA NA NA NA 6890 664 842 NA NA NA NA NA
1470949200.0 108.0 56 79 188 NA NA NA NA NA 101 147 250 NA NA NA NA NA 5930 273 396 NA NA NA NA NA 6432 283 413 NA NA NA NA NA
1470949200.0 109.0 56 79 188 NA NA NA NA NA 102 147 250 NA NA NA NA NA 8014 354 622 NA NA NA NA NA 8189 431 672 NA NA NA NA NA
1470949200.0 11.0 NA 77 198 0 53 NA NA NA NA 149 260 0 90 NA NA NA NA 3007 1465 972 60 NA NA NA NA 3060 1524 1000 71 NA NA NA
