Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1471078800.0 1.0 54 83 130 NA NA NA NA NA 98 145 181 NA NA NA NA NA 3128 335 1223 NA NA NA NA NA 3342 375 1249 NA NA NA NA NA
1471078800.0 10.0 NA 79 195 0 NA NA NA NA NA 149 252 0 NA NA NA NA NA 2016 2101 559 NA NA NA NA NA 4360 2527 579 NA NA NA NA
1471078800.0 1000.0 NA 214 120 0 40 NA NA NA NA 279 179 0 79 NA NA NA NA 3453 437 446 121 NA NA NA NA 3536 502 466 186 NA NA NA
1471078800.0 1001.0 NA 180 168 0 0 0 0 0 NA 240 217 0 0 0 0 0 NA 1914 420 5 62 518 37 410 NA 2107 452 146 84 541 116 432
1471078800.0 1002.0 NA 210 68 NA NA NA NA NA NA 275 100 NA NA NA NA NA NA 2594 149 NA NA NA NA NA NA 2763 164 NA NA NA NA NA
1471078800.0 1003.0 NA 175 0 NA NA NA NA NA NA 247 0 NA NA NA NA NA NA 3212 332 NA NA NA NA NA NA 3321 349 NA NA NA NA NA
1471078800.0 1004.0 NA 178 137 0 0 0 0 NA NA 236 179 0 0 0 0 NA NA 536 182 6 63 513 486 NA NA 686 226 29 85 533 757 NA
1471078800.0 101.0 79 NA NA NA NA NA NA NA 139 NA NA NA NA NA NA NA 1344 NA NA NA NA NA NA NA 1450 NA NA NA NA NA NA NA
1471078800.0 102.0 81 NA NA NA NA NA NA NA 139 NA NA NA NA NA NA NA 829 NA NA NA NA NA NA NA 902 NA NA NA NA NA NA NA
1471078800.0 103.0 47 82 187 NA NA NA NA NA 92 147 250 NA NA NA NA NA 837 218 411 NA NA NA NA NA 954 260 1810 NA NA NA NA NA
1471078800.0 105.0 53 75 24 NA NA NA NA NA 98 147 54 NA NA NA NA NA 3210 358 3 NA NA NA NA NA 3545 434 16 NA NA NA NA NA
1471078800.0 106.0 37 0 0 NA NA NA NA NA 77 0 0 NA NA NA NA NA 422 85 164 NA NA NA NA NA 445 110 219 NA NA NA NA NA
1471078800.0 107.0 53 85 189 NA NA NA NA NA 99 147 250 NA NA NA NA NA 5904 364 483 NA NA NA NA NA 6138 441 519 NA NA NA NA NA
1471078800.0 108.0 57 81 191 NA NA NA NA NA 102 147 250 NA NA NA NA NA 7515 379 620 NA NA NA NA NA 8320 515 899 NA NA NA NA NA
1471078800.0 109.0 55 79 192 NA NA NA NA NA 102 147 250 NA NA NA NA NA 8482 403 658 NA NA NA NA NA 11712 672 860 NA NA NA NA NA
1471078800.0 11.0 NA 77 197 0 54 NA NA NA NA 149 260 0 90 NA NA NA NA 1654 903 630 40 NA NA NA NA 1712 937 699 107 NA NA NA
1471078800.0 110.0 45 76 187 NA NA NA NA NA 90 147 250 NA NA NA NA NA 643 358 417 NA NA NA NA NA 666 532 625 NA NA NA NA NA
1471078800.0 1102.0 NA 85 204 112 67 NA NA NA NA 149 258 173 113 NA NA NA NA 2188 2882 3070 231 NA NA NA NA 2461 3127 3518 296 NA NA NA
1471078800.0 111.0 52 76 186 NA NA NA NA NA 98 147 250 NA NA NA NA NA 3752 287 454 NA NA NA NA NA 4238 333 484 NA NA NA NA NA
1471078800.0 112.0 54 77 189 NA NA NA NA NA 100 147 250 NA NA NA NA NA 6806 374 485 NA NA NA NA NA 6978 404 506 NA NA NA NA NA
1471078800.0 113.0 54 79 189 NA NA NA NA NA 101 147 250 NA NA NA NA NA 6672 372 467 NA NA NA NA NA 6830 411 494 NA NA NA NA NA
1471078800.0 114.0 55 77 187 NA NA NA NA NA 100 147 250 NA NA NA NA NA 5502 373 484 NA NA NA NA NA 5849 412 568 NA NA NA NA NA
1471078800.0 115.0 56 78 191 NA NA NA NA NA 101 147 250 NA NA NA NA NA 7874 388 538 NA NA NA NA NA 9323 563 784 NA NA NA NA NA
1471078800.0 116.0 57 78 189 NA NA NA NA NA 101 147 250 NA NA NA NA NA 7213 375 531 NA NA NA NA NA 7430 414 562 NA NA NA NA NA
1471078800.0 117.0 57 82 189 NA NA NA NA NA 101 147 250 NA NA NA NA NA 8817 436 617 NA NA NA NA NA 9360 576 856 NA NA NA NA NA
1471078800.0 118.0 57 78 200 NA NA NA NA NA 101 147 250 NA NA NA NA NA 6661 385 600 NA NA NA NA NA 7369 419 638 NA NA NA NA NA
1471078800.0 119.0 56 80 193 NA NA NA NA NA 100 147 250 NA NA NA NA NA 5914 371 485 NA NA NA NA NA 6191 436 531 NA NA NA NA NA
1471078800.0 12.0 NA 79 192 0 NA NA NA NA NA 149 251 0 NA NA NA NA NA 1883 2266 612 NA NA NA NA NA 1940 2390 626 NA NA NA NA
1471078800.0 120.0 46 72 185 NA NA NA NA NA 89 147 250 NA NA NA NA NA 539 340 421 NA NA NA NA NA 601 382 2499 NA NA NA NA NA
1471078800.0 121.0 57 82 190 NA NA NA NA NA 101 147 250 NA NA NA NA NA 9530 417 637 NA NA NA NA NA 10231 567 909 NA NA NA NA NA
1471078800.0 122.0 52 83 186 NA NA NA NA NA 98 147 250 NA NA NA NA NA 2124 264 432 NA NA NA NA NA 2347 419 791 NA NA NA NA NA
1471078800.0 123.1 170 NA NA NA NA NA NA NA 235 NA NA NA NA NA NA NA 666 NA NA NA NA NA NA NA 747 NA NA NA NA NA NA NA
1471078800.0 123.2 183 NA NA NA NA NA NA NA 236 NA NA NA NA NA NA NA 641 NA NA NA NA NA NA NA 810 NA NA NA NA NA NA NA
1471078800.0 123.3 158 NA NA NA NA NA NA NA 223 NA NA NA NA NA NA NA 388 NA NA NA NA NA NA NA 448 NA NA NA NA NA NA NA
1471078800.0 124.1 165 NA NA NA NA NA NA NA 228 NA NA NA NA NA NA NA 386 NA NA NA NA NA NA NA 456 NA NA NA NA NA NA NA
1471078800.0 124.2 169 NA NA NA NA NA NA NA 234 NA NA NA NA NA NA NA 621 NA NA NA NA NA NA NA 711 NA NA NA NA NA NA NA
1471078800.0 124.4 166 NA NA NA NA NA NA NA 228 NA NA NA NA NA NA NA 404 NA NA NA NA NA NA NA 499 NA NA NA NA NA NA NA
1471078800.0 124.5 166 NA NA NA NA NA NA NA 228 NA NA NA NA NA NA NA 394 NA NA NA NA NA NA NA 493 NA NA NA NA NA NA NA
1471078800.0 124.6 158 NA NA NA NA NA NA NA 219 NA NA NA NA NA NA NA 401 NA NA NA NA NA NA NA 488 NA NA NA NA NA NA NA
1471078800.0 125.0 56 78 185 NA NA NA NA NA 101 147 250 NA NA NA NA NA 6868 293 339 NA NA NA NA NA 7100 321 354 NA NA NA NA NA
1471078800.0 126.0 47 72 184 NA NA NA NA NA 90 147 250 NA NA NA NA NA 1126 339 442 NA NA NA NA NA 1149 429 1100 NA NA NA NA NA
1471078800.0 127.0 46 73 189 NA NA NA NA NA 85 147 250 NA NA NA NA NA 1390 340 424 NA NA NA NA NA 1408 405 583 NA NA NA NA NA
1471078800.0 128.0 44 82 185 NA NA NA NA NA 84 147 250 NA NA NA NA NA 496 347 421 NA NA NA NA NA 518 430 627 NA NA NA NA NA
1471078800.0 129.0 44 73 184 NA NA NA NA NA 85 147 250 NA NA NA NA NA 518 350 418 NA NA NA NA NA 1146 466 629 NA NA NA NA NA
1471078800.0 13.0 NA 73 188 0 NA NA NA NA NA 149 250 0 NA NA NA NA NA 285 959 529 NA NA NA NA NA 401 1235 679 NA NA NA NA
1471078800.0 130.0 44 72 185 NA NA NA NA NA 85 147 250 NA NA NA NA NA 640 341 417 NA NA NA NA NA 684 382 2416 NA NA NA NA NA
1471078800.0 1301.0 60 135 164 NA NA NA NA NA 105 200 230 NA NA NA NA NA 2195 483 2118 NA NA NA NA NA 2462 566 2838 NA NA NA NA NA
1471078800.0 1302.0 61 142 178 NA NA NA NA NA 110 202 236 NA NA NA NA NA 9794 600 1516 NA NA NA NA NA 11383 869 1926 NA NA NA NA NA
1471078800.0 1303.0 68 143 185 NA NA NA NA NA 112 201 240 NA NA NA NA NA 8952 415 2104 NA NA NA NA NA 10451 705 2204 NA NA NA NA NA
1471078800.0 131.0 46 80 185 NA NA NA NA NA 86 147 250 NA NA NA NA NA 1320 346 432 NA NA NA NA NA 1371 411 603 NA NA NA NA NA
1471078800.0 1311.0 NA 156 222 0 59 NA NA NA NA 216 285 0 101 NA NA NA NA 505 972 1313 104 NA NA NA NA 617 1190 1414 719 NA NA NA
1471078800.0 132.0 53 76 187 NA NA NA NA NA 97 147 250 NA NA NA NA NA 4055 371 498 NA NA NA NA NA 4557 423 609 NA NA NA NA NA
1471078800.0 133.0 54 78 191 NA NA NA NA NA 103 147 250 NA NA NA NA NA 8791 378 728 NA NA NA NA NA 9683 514 779 NA NA NA NA NA
1471078800.0 134.0 NA 212 35 0 NA NA NA NA NA 279 71 0 NA NA NA NA NA 2870 6 8 NA NA NA NA NA 2942 11 12 NA NA NA NA
1471078800.0 134.701 NA 44 240 0 NA NA NA NA NA 85 301 0 NA NA NA NA NA 141 4958 481 NA NA NA NA NA 211 5058 495 NA NA NA NA
1471078800.0 134.702 NA 44 227 0 NA NA NA NA NA 83 301 0 NA NA NA NA NA 162 6559 493 NA NA NA NA NA 320 10894 514 NA NA NA NA
1471078800.0 134.703 NA 45 225 0 NA NA NA NA NA 87 305 0 NA NA NA NA NA 159 6739 503 NA NA NA NA NA 304 9438 518 NA NA NA NA
1471078800.0 134.704 NA 34 228 0 NA NA NA NA NA 83 297 0 NA NA NA NA NA 156 4893 329 NA NA NA NA NA 230 5363 344 NA NA NA NA
1471078800.0 134.705 NA 37 236 0 NA NA NA NA NA 87 312 0 NA NA NA NA NA 159 5366 330 NA NA NA NA NA 214 5808 336 NA NA NA NA
1471078800.0 134.706 NA 37 228 0 NA NA NA NA NA 87 305 0 NA NA NA NA NA 153 7568 552 NA NA NA NA NA 206 9038 611 NA NA NA NA
1471078800.0 134.707 NA 40 220 0 NA NA NA NA NA 86 297 0 NA NA NA NA NA 160 6417 490 NA NA NA NA NA 272 7350 548 NA NA NA NA
1471078800.0 134.708 NA 38 227 0 NA NA NA NA NA 86 301 0 NA NA NA NA NA 154 6150 497 NA NA NA NA NA 320 7300 517 NA NA NA NA
1471078800.0 134.709 NA 46 234 0 NA NA NA NA NA 87 303 0 NA NA NA NA NA 158 6770 499 NA NA NA NA NA 380 7794 555 NA NA NA NA
1471078800.0 134.71 NA 32 218 0 NA NA NA NA NA 79 293 0 NA NA NA NA NA 134 4398 475 NA NA NA NA NA 153 4680 506 NA NA NA NA
1471078800.0 134.801 NA 41 227 0 NA NA NA NA NA 84 301 0 NA NA NA NA NA 137 4721 478 NA NA NA NA NA 162 5292 497 NA NA NA NA
1471078800.0 134.802 NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 0 NA NA NA NA NA NA
1471078800.0 134.803 NA 34 224 0 NA NA NA NA NA 88 305 0 NA NA NA NA NA 197 7858 524 NA NA NA NA NA 335 9039 571 NA NA NA NA
1471078800.0 134.804 NA 34 231 0 NA NA NA NA NA 87 309 0 NA NA NA NA NA 202 8548 489 NA NA NA NA NA 335 9741 505 NA NA NA NA
