Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1470387600.0 1.0 47 62 120 NA NA NA NA NA 92 134 170 NA NA NA NA NA 2729 323 309 NA NA NA NA NA 2931 335 336 NA NA NA NA NA
1470387600.0 10.0 NA 91 192 0 NA NA NA NA NA 152 257 0 NA NA NA NA NA 2553 2548 633 NA NA NA NA NA 2696 2989 650 NA NA NA NA
1470387600.0 1000.0 NA 207 121 0 46 NA NA NA NA 273 180 0 78 NA NA NA NA 2395 530 555 150 NA NA NA NA 2657 622 572 193 NA NA NA
1470387600.0 1001.0 NA 183 166 0 0 0 0 0 NA 245 216 0 0 0 0 0 NA 2165 477 8 76 780 23 661 NA 2229 624 14 89 785 33 673
1470387600.0 1002.0 NA 206 62 NA NA NA NA NA NA 276 98 NA NA NA NA NA NA 2129 161 NA NA NA NA NA NA 2394 173 NA NA NA NA NA
1470387600.0 10021.0 NA 98 214 0 NA NA NA NA NA 174 309 0 NA NA NA NA NA 449 824 422 NA NA NA NA NA 516 902 455 NA NA NA NA
1470387600.0 10023.0 NA 103 217 0 NA NA NA NA NA 175 309 0 NA NA NA NA NA 434 596 375 NA NA NA NA NA 1194 667 400 NA NA NA NA
1470387600.0 10024.0 NA 102 223 0 NA NA NA NA NA 175 309 0 NA NA NA NA NA 502 846 418 NA NA NA NA NA 613 962 432 NA NA NA NA
1470387600.0 10024.1 NA 103 139 0 NA NA NA NA NA 175 211 0 NA NA NA NA NA 488 457 328 NA NA NA NA NA 642 534 342 NA NA NA NA
1470387600.0 10024.2 NA 102 213 0 NA NA NA NA NA 175 308 0 NA NA NA NA NA 506 849 403 NA NA NA NA NA 578 1388 419 NA NA NA NA
1470387600.0 10024.3 NA 102 137 0 NA NA NA NA NA 175 207 0 NA NA NA NA NA 497 435 306 NA NA NA NA NA 574 526 316 NA NA NA NA
1470387600.0 10024.4 NA 102 214 0 NA NA NA NA NA 175 308 0 NA NA NA NA NA 511 851 418 NA NA NA NA NA 615 1184 445 NA NA NA NA
1470387600.0 10024.5 NA 104 133 0 NA NA NA NA NA 175 206 0 NA NA NA NA NA 348 276 197 NA NA NA NA NA 417 596 206 NA NA NA NA
1470387600.0 10025.0 NA 103 214 0 NA NA NA NA NA 175 309 0 NA NA NA NA NA 480 708 423 NA NA NA NA NA 689 1283 443 NA NA NA NA
1470387600.0 10026.0 NA 106 221 0 NA NA NA NA NA 175 309 0 NA NA NA NA NA 496 1084 408 NA NA NA NA NA 583 1326 425 NA NA NA NA
1470387600.0 1003.0 NA 174 0 NA NA NA NA NA NA 234 0 NA NA NA NA NA NA 3257 351 NA NA NA NA NA NA 3438 369 NA NA NA NA NA
1470387600.0 101.0 77 NA NA NA NA NA NA NA 137 NA NA NA NA NA NA NA 826 NA NA NA NA NA NA NA 921 NA NA NA NA NA NA NA
1470387600.0 102.0 79 NA NA NA NA NA NA NA 137 NA NA NA NA NA NA NA 648 NA NA NA NA NA NA NA 704 NA NA NA NA NA NA NA
1470387600.0 10224.0 NA 138 237 0 NA NA NA NA NA 202 379 0 NA NA NA NA NA 2649 3952 465 NA NA NA NA NA 6983 10130 498 NA NA NA NA
1470387600.0 10225.0 NA 142 276 0 NA NA NA NA NA 206 383 0 NA NA NA NA NA 1984 2553 306 NA NA NA NA NA 10873 17872 366 NA NA NA NA
1470387600.0 103.0 34 0 0 NA NA NA NA NA 74 0 0 NA NA NA NA NA 325 55 104 NA NA NA NA NA 425 96 173 NA NA NA NA NA
1470387600.0 105.0 48 71 26 NA NA NA NA NA 92 141 56 NA NA NA NA NA 2666 367 3 NA NA NA NA NA 2772 388 16 NA NA NA NA NA
1470387600.0 106.0 33 0 0 NA NA NA NA NA 74 0 0 NA NA NA NA NA 325 56 109 NA NA NA NA NA 367 156 283 NA NA NA NA NA
1470387600.0 10621.0 72 86 153 0 NA NA NA NA 114 126 194 0 NA NA NA NA 1605 752 802 310 NA NA NA NA 1660 836 865 322 NA NA NA NA
1470387600.0 10624.0 83 78 151 0 NA NA NA NA 130 127 197 0 NA NA NA NA 8004 814 796 421 NA NA NA NA 8294 1316 1401 436 NA NA NA NA
1470387600.0 10625.0 81 79 150 0 NA NA NA NA 129 127 194 0 NA NA NA NA 7583 872 607 409 NA NA NA NA 8046 986 686 424 NA NA NA NA
1470387600.0 10626.0 85 76 152 0 NA NA NA NA 130 125 198 0 NA NA NA NA 10559 810 808 436 NA NA NA NA 10815 1090 915 464 NA NA NA NA
1470387600.0 107.0 49 69 190 NA NA NA NA NA 94 142 254 NA NA NA NA NA 5586 416 519 NA NA NA NA NA 5903 448 552 NA NA NA NA NA
1470387600.0 108.0 52 77 193 NA NA NA NA NA 97 143 254 NA NA NA NA NA 9101 560 717 NA NA NA NA NA 9564 651 758 NA NA NA NA NA
1470387600.0 10821.0 83 NA NA NA NA NA NA NA 124 NA NA NA NA NA NA NA 2339 NA NA NA NA NA NA NA 2584 NA NA NA NA NA NA NA
1470387600.0 10824.0 96 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 12975 NA NA NA NA NA NA NA 13416 NA NA NA NA NA NA NA
1470387600.0 10825.0 96 NA NA NA NA NA NA NA 141 NA NA NA NA NA NA NA 12066 NA NA NA NA NA NA NA 12628 NA NA NA NA NA NA NA
1470387600.0 10826.0 101 NA NA NA NA NA NA NA 146 NA NA NA NA NA NA NA 11839 NA NA NA NA NA NA NA 12393 NA NA NA NA NA NA NA
1470387600.0 109.0 49 74 195 NA NA NA NA NA 97 143 255 NA NA NA NA NA 7882 463 912 NA NA NA NA NA 8684 487 966 NA NA NA NA NA
1470387600.0 11.0 NA 79 201 0 59 NA NA NA NA 151 265 0 90 NA NA NA NA 2145 959 670 40 NA NA NA NA 2184 999 699 70 NA NA NA
1470387600.0 110.0 42 75 185 NA NA NA NA NA 85 141 253 NA NA NA NA NA 452 253 273 NA NA NA NA NA 564 310 517 NA NA NA NA NA
1470387600.0 1102.0 NA 86 199 101 62 NA NA NA NA 151 259 155 112 NA NA NA NA 2716 3139 1764 171 NA NA NA NA 2775 3311 1825 182 NA NA NA
1470387600.0 11021.0 83 204 80 NA NA NA NA NA 126 251 122 NA NA NA NA NA 3499 3294 1165 NA NA NA NA NA 3952 3382 1268 NA NA NA NA NA
1470387600.0 11024.0 96 202 82 NA NA NA NA NA 142 253 123 NA NA NA NA NA 12994 3055 1191 NA NA NA NA NA 14965 3653 1262 NA NA NA NA NA
1470387600.0 11025.0 95 202 81 NA NA NA NA NA 140 252 122 NA NA NA NA NA 10477 3039 1167 NA NA NA NA NA 10887 3173 1238 NA NA NA NA NA
