Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1471510800.0 1.0 73 84 129 NA NA NA NA NA 151 194 208 NA NA NA NA NA 1364 271 200 NA NA NA NA NA 704 194 194 NA NA NA NA NA
1471510800.0 10.0 NA 109 384 0 NA NA NA NA NA 230 484 0 NA NA NA NA NA 2309 2512 465 NA NA NA NA NA 840 1135 479 NA NA NA NA
1471510800.0 1000.0 NA 339 127 0 47 NA NA NA NA 431 194 0 83 NA NA NA NA 2358 529 311 127 NA NA NA NA 1089 378 317 143 NA NA NA
1471510800.0 1001.0 NA 310 191 0 0 0 0 0 NA 409 250 0 0 0 0 0 NA 2449 496 5 31 512 28 347 NA 1197 397 9 33 526 31 349
1471510800.0 1002.0 NA 338 60 NA NA NA NA NA NA 417 108 NA NA NA NA NA NA 1758 183 NA NA NA NA NA NA 817 112 NA NA NA NA NA
1471510800.0 10021.0 NA 116 371 0 NA NA NA NA NA 247 512 0 NA NA NA NA NA 843 1802 460 NA NA NA NA NA 628 1490 510 NA NA NA NA
1471510800.0 10023.0 NA 120 369 0 NA NA NA NA NA 234 508 0 NA NA NA NA NA 765 1442 414 NA NA NA NA NA 614 1528 432 NA NA NA NA
1471510800.0 10024.0 NA 122 385 0 NA NA NA NA NA 246 514 0 NA NA NA NA NA 893 1863 485 NA NA NA NA NA 1036 1494 504 NA NA NA NA
1471510800.0 10024.1 NA 121 240 0 NA NA NA NA NA 252 328 0 NA NA NA NA NA 427 418 189 NA NA NA NA NA 333 598 197 NA NA NA NA
1471510800.0 10024.2 NA 124 383 0 NA NA NA NA NA 240 482 0 NA NA NA NA NA 891 1904 449 NA NA NA NA NA 678 1583 461 NA NA NA NA
1471510800.0 10024.3 NA 121 223 0 NA NA NA NA NA 254 310 0 NA NA NA NA NA 438 404 178 NA NA NA NA NA 348 325 184 NA NA NA NA
1471510800.0 10024.4 NA 121 381 0 NA NA NA NA NA 251 492 0 NA NA NA NA NA 901 1788 461 NA NA NA NA NA 696 1483 484 NA NA NA NA
1471510800.0 10024.5 NA 121 216 0 NA NA NA NA NA 255 302 0 NA NA NA NA NA 448 362 177 NA NA NA NA NA 376 605 183 NA NA NA NA
1471510800.0 10025.0 NA 126 375 0 NA NA NA NA NA 231 493 0 NA NA NA NA NA 880 1694 448 NA NA NA NA NA 630 1499 460 NA NA NA NA
1471510800.0 10026.0 NA 124 386 0 NA NA NA NA NA 250 518 0 NA NA NA NA NA 561 1317 306 NA NA NA NA NA 987 1531 325 NA NA NA NA
1471510800.0 1003.0 NA 282 0 NA NA NA NA NA NA 368 0 NA NA NA NA NA NA 2459 211 NA NA NA NA NA NA 967 335 NA NA NA NA NA
1471510800.0 1004.0 NA 365 133 0 0 0 0 NA NA 458 183 0 0 0 0 NA NA 549 106 4 19 239 198 NA NA 455 114 56 24 244 202 NA
1471510800.0 101.0 100 NA NA NA NA NA NA NA 166 NA NA NA NA NA NA NA 427 NA NA NA NA NA NA NA 454 NA NA NA NA NA NA NA
1471510800.0 102.0 99 NA NA NA NA NA NA NA 166 NA NA NA NA NA NA NA 429 NA NA NA NA NA NA NA 453 NA NA NA NA NA NA NA
1471510800.0 10224.0 NA 204 593 0 NA NA NA NA NA 352 783 0 NA NA NA NA NA 2037 3394 260 NA NA NA NA NA 2325 2659 277 NA NA NA NA
1471510800.0 10225.0 NA 218 619 0 NA NA NA NA NA 385 804 0 NA NA NA NA NA 2729 3491 271 NA NA NA NA NA 1856 2347 286 NA NA NA NA
1471510800.0 103.0 37 0 0 NA NA NA NA NA 78 0 0 NA NA NA NA NA 306 100 211 NA NA NA NA NA 311 116 271 NA NA NA NA NA
1471510800.0 10421.0 88 94 264 0 NA NA NA NA 135 161 331 0 NA NA NA NA 1829 803 910 217 NA NA NA NA 1475 983 705 231 NA NA NA NA
1471510800.0 10424.0 118 99 276 0 NA NA NA NA 192 171 344 0 NA NA NA NA 8864 851 825 309 NA NA NA NA 3501 654 678 333 NA NA NA NA
1471510800.0 10425.0 116 99 270 0 NA NA NA NA 194 176 337 0 NA NA NA NA 9231 1106 960 294 NA NA NA NA 3550 801 795 300 NA NA NA NA
1471510800.0 10426.0 126 102 275 0 NA NA NA NA 187 170 337 0 NA NA NA NA 15007 1479 1492 470 NA NA NA NA 6330 1080 1119 480 NA NA NA NA
1471510800.0 105.0 74 91 27 NA NA NA NA NA 153 194 59 NA NA NA NA NA 1438 308 2 NA NA NA NA NA 726 212 15 NA NA NA NA NA
1471510800.0 106.0 35 0 0 NA NA NA NA NA 78 0 0 NA NA NA NA NA 309 100 211 NA NA NA NA NA 316 106 224 NA NA NA NA NA
1471510800.0 107.0 77 88 375 NA NA NA NA NA 181 212 470 NA NA NA NA NA 7570 517 685 NA NA NA NA NA 2455 350 568 NA NA NA NA NA
1471510800.0 108.0 86 102 375 NA NA NA NA NA 169 184 465 NA NA NA NA NA 7640 462 796 NA NA NA NA NA 2845 343 609 NA NA NA NA NA
1471510800.0 10821.0 93 94 270 0 NA NA NA NA 139 164 325 0 NA NA NA NA 3003 1407 1463 332 NA NA NA NA 2299 1099 1069 343 NA NA NA NA
1471510800.0 10824.0 126 101 284 0 NA NA NA NA 191 177 336 0 NA NA NA NA 9249 912 876 317 NA NA NA NA 3640 725 705 327 NA NA NA NA
1471510800.0 10825.0 123 102 268 0 NA NA NA NA 198 167 332 0 NA NA NA NA 9136 1627 1177 429 NA NA NA NA 4229 1576 1028 440 NA NA NA NA
1471510800.0 10826.0 127 103 277 0 NA NA NA NA 198 171 337 0 NA NA NA NA 8437 880 728 229 NA NA NA NA 3661 693 541 237 NA NA NA NA
1471510800.0 109.0 85 92 371 NA NA NA NA NA 153 189 466 NA NA NA NA NA 8315 460 838 NA NA NA NA NA 3066 323 651 NA NA NA NA NA
1471510800.0 11.0 NA 105 404 0 62 NA NA NA NA 219 505 0 97 NA NA NA NA 3310 1817 709 67 NA NA NA NA 1197 1232 724 75 NA NA NA
1471510800.0 110.0 61 86 356 NA NA NA NA NA 104 193 449 NA NA NA NA NA 646 290 394 NA NA NA NA NA 424 208 362 NA NA NA NA NA
1471510800.0 1102.0 NA 100 384 115 64 NA NA NA NA 229 468 185 115 NA NA NA NA 2380 3794 2224 283 NA NA NA NA 858 1366 774 114 NA NA NA
1471510800.0 111.0 75 90 366 NA NA NA NA NA 152 195 459 NA NA NA NA NA 3048 276 493 NA NA NA NA NA 1174 232 435 NA NA NA NA NA
1471510800.0 112.0 78 97 369 NA NA NA NA NA 164 191 442 NA NA NA NA NA 7050 730 1118 NA NA NA NA NA 2445 474 938 NA NA NA NA NA
