Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1470560400.0 1.0 47 63 121 NA NA NA NA NA 94 135 171 NA NA NA NA NA 2776 340 275 NA NA NA NA NA 2960 370 293 NA NA NA NA NA
1470560400.0 10.0 NA 83 196 0 NA NA NA NA NA 153 257 0 NA NA NA NA NA 2557 1971 517 NA NA NA NA NA 2703 2008 524 NA NA NA NA
1470560400.0 1000.0 NA 203 122 0 46 NA NA NA NA 274 183 0 79 NA NA NA NA 1714 389 387 127 NA NA NA NA 2040 480 462 339 NA NA NA
1470560400.0 1001.0 NA 186 169 0 0 0 0 0 NA 246 217 0 0 0 0 0 NA 1505 325 5 51 420 16 602 NA 1679 459 151 115 436 20 637
1470560400.0 1002.0 NA 207 58 NA NA NA NA NA NA 275 99 NA NA NA NA NA NA 2213 145 NA NA NA NA NA NA 2608 159 NA NA NA NA NA
1470560400.0 10021.0 NA 98 212 0 NA NA NA NA NA 177 301 0 NA NA NA NA NA 430 764 382 NA NA NA NA NA 1023 1012 415 NA NA NA NA
1470560400.0 10023.0 NA 99 216 0 NA NA NA NA NA 177 307 0 NA NA NA NA NA 423 531 297 NA NA NA NA NA 511 610 312 NA NA NA NA
1470560400.0 10024.0 NA 103 222 0 NA NA NA NA NA 177 302 0 NA NA NA NA NA 459 750 399 NA NA NA NA NA 1030 990 452 NA NA NA NA
1470560400.0 10024.1 NA 102 139 0 NA NA NA NA NA 176 210 0 NA NA NA NA NA 442 422 276 NA NA NA NA NA 4611 692 299 NA NA NA NA
1470560400.0 10024.2 NA 102 219 0 NA NA NA NA NA 177 301 0 NA NA NA NA NA 478 823 438 NA NA NA NA NA 861 939 459 NA NA NA NA
1470560400.0 10024.3 NA 103 135 0 NA NA NA NA NA 177 184 0 NA NA NA NA NA 449 312 186 NA NA NA NA NA 503 392 192 NA NA NA NA
1470560400.0 10024.4 NA 103 223 0 NA NA NA NA NA 177 306 0 NA NA NA NA NA 510 861 407 NA NA NA NA NA 774 1094 427 NA NA NA NA
1470560400.0 10024.5 NA 103 132 0 NA NA NA NA NA 177 185 0 NA NA NA NA NA 452 297 189 NA NA NA NA NA 479 355 194 NA NA NA NA
1470560400.0 10025.0 NA 104 222 0 NA NA NA NA NA 177 302 0 NA NA NA NA NA 488 726 441 NA NA NA NA NA 580 1025 487 NA NA NA NA
1470560400.0 10026.0 NA 102 227 0 NA NA NA NA NA 177 301 0 NA NA NA NA NA 518 1028 414 NA NA NA NA NA 595 1130 477 NA NA NA NA
1470560400.0 1003.0 NA 175 0 NA NA NA NA NA NA 237 0 NA NA NA NA NA NA 2884 375 NA NA NA NA NA NA 3335 435 NA NA NA NA NA
1470560400.0 101.0 81 NA NA NA NA NA NA NA 138 NA NA NA NA NA NA NA 1046 NA NA NA NA NA NA NA 1078 NA NA NA NA NA NA NA
1470560400.0 102.0 80 NA NA NA NA NA NA NA 139 NA NA NA NA NA NA NA 690 NA NA NA NA NA NA NA 734 NA NA NA NA NA NA NA
1470560400.0 10224.0 NA 137 287 0 NA NA NA NA NA 209 385 0 NA NA NA NA NA 2419 3081 384 NA NA NA NA NA 7136 6286 444 NA NA NA NA
1470560400.0 10225.0 NA 147 287 0 NA NA NA NA NA 208 389 0 NA NA NA NA NA 2483 3321 388 NA NA NA NA NA 11822 23981 434 NA NA NA NA
1470560400.0 103.0 35 0 0 NA NA NA NA NA 76 0 0 NA NA NA NA NA 322 68 146 NA NA NA NA NA 377 78 166 NA NA NA NA NA
1470560400.0 105.0 48 74 28 NA NA NA NA NA 94 143 57 NA NA NA NA NA 2065 243 3 NA NA NA NA NA 2141 253 7 NA NA NA NA NA
1470560400.0 106.0 35 0 0 NA NA NA NA NA 76 0 0 NA NA NA NA NA 330 68 148 NA NA NA NA NA 439 89 166 NA NA NA NA NA
1470560400.0 10621.0 73 78 153 0 NA NA NA NA 115 127 195 0 NA NA NA NA 1156 549 576 218 NA NA NA NA 1222 622 635 226 NA NA NA NA
1470560400.0 10624.0 83 79 153 0 NA NA NA NA 130 127 198 0 NA NA NA NA 7918 778 726 427 NA NA NA NA 8661 1183 1389 460 NA NA NA NA
1470560400.0 10625.0 82 76 147 0 NA NA NA NA 130 133 196 0 NA NA NA NA 9890 1154 795 504 NA NA NA NA 10117 1269 890 518 NA NA NA NA
1470560400.0 10626.0 84 79 152 0 NA NA NA NA 132 128 200 0 NA NA NA NA 7877 587 604 306 NA NA NA NA 8156 690 713 320 NA NA NA NA
1470560400.0 107.0 50 78 189 NA NA NA NA NA 95 143 255 NA NA NA NA NA 3713 291 388 NA NA NA NA NA 3883 323 424 NA NA NA NA NA
1470560400.0 108.0 51 72 190 NA NA NA NA NA 97 143 255 NA NA NA NA NA 10287 690 795 NA NA NA NA NA 10443 803 844 NA NA NA NA NA
1470560400.0 10821.0 83 NA NA NA NA NA NA NA 126 NA NA NA NA NA NA NA 3225 NA NA NA NA NA NA NA 3298 NA NA NA NA NA NA NA
1470560400.0 10824.0 97 NA NA NA NA NA NA NA 144 NA NA NA NA NA NA NA 10251 NA NA NA NA NA NA NA 10640 NA NA NA NA NA NA NA
1470560400.0 10825.0 94 NA NA NA NA NA NA NA 142 NA NA NA NA NA NA NA 15766 NA NA NA NA NA NA NA 16063 NA NA NA NA NA NA NA
1470560400.0 10826.0 102 NA NA NA NA NA NA NA 148 NA NA NA NA NA NA NA 20548 NA NA NA NA NA NA NA 21744 NA NA NA NA NA NA NA
1470560400.0 109.0 50 73 192 NA NA NA NA NA 98 143 255 NA NA NA NA NA 10536 650 888 NA NA NA NA NA 10704 709 944 NA NA NA NA NA
1470560400.0 11.0 NA 80 204 0 52 NA NA NA NA 152 265 0 91 NA NA NA NA 1555 712 493 32 NA NA NA NA 1707 813 559 72 NA NA NA
1470560400.0 110.0 42 74 188 NA NA NA NA NA 87 143 255 NA NA NA NA NA 500 295 322 NA NA NA NA NA 585 481 348 NA NA NA NA NA
1470560400.0 1102.0 NA 91 194 101 63 NA NA NA NA 153 260 156 113 NA NA NA NA 3553 4186 2299 178 NA NA NA NA 3624 4374 2409 188 NA NA NA
1470560400.0 11021.0 84 200 81 NA NA NA NA NA 126 252 123 NA NA NA NA NA 4729 4303 1243 NA NA NA NA NA 4840 4484 1308 NA NA NA NA NA
1470560400.0 11024.0 95 205 82 NA NA NA NA NA 143 254 125 NA NA NA NA NA 12718 2791 1264 NA NA NA NA NA 13470 3044 1343 NA NA NA NA NA
1470560400.0 11025.0 95 203 80 NA NA NA NA NA 142 254 124 NA NA NA NA NA 10232 2731 1121 NA NA NA NA NA 10837 2854 1544 NA NA NA NA NA
1470560400.0 11026.0 100 209 95 NA NA NA NA NA 148 257 127 NA NA NA NA NA 18055 2355 993 NA NA NA NA NA 22729 2460 1056 NA NA NA NA NA
1470560400.0 111.0 48 72 189 NA NA NA NA NA 95 143 255 NA NA NA NA NA 2860 338 401 NA NA NA NA NA 2963 373 653 NA NA NA NA NA
1470560400.0 112.0 50 73 200 NA NA NA NA NA 95 143 255 NA NA NA NA NA 6557 337 362 NA NA NA NA NA 6598 347 380 NA NA NA NA NA
1470560400.0 11221.0 78 78 151 0 NA NA NA NA 120 133 196 0 NA NA NA NA 1217 565 614 228 NA NA NA NA 1464 649 776 255 NA NA NA NA
1470560400.0 11224.0 88 79 153 0 NA NA NA NA 136 133 198 0 NA NA NA NA 8133 832 687 455 NA NA NA NA 8879 934 782 479 NA NA NA NA
1470560400.0 11225.0 87 79 148 0 NA NA NA NA 135 127 196 0 NA NA NA NA 9215 1208 833 527 NA NA NA NA 9387 1327 913 550 NA NA NA NA
1470560400.0 11226.0 89 81 152 0 NA NA NA NA 136 128 200 0 NA NA NA NA 8236 611 582 301 NA NA NA NA 8485 668 692 313 NA NA NA NA
1470560400.0 113.0 51 72 188 NA NA NA NA NA 98 144 255 NA NA NA NA NA 10421 559 701 NA NA NA NA NA 10567 582 752 NA NA NA NA NA
1470560400.0 114.0 52 71 188 NA NA NA NA NA 97 144 255 NA NA NA NA NA 8873 653 761 NA NA NA NA NA 9067 716 839 NA NA NA NA NA
