Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1471467600.0 1.0 73 74 137 NA NA NA NA NA 146 191 209 NA NA NA NA NA 3258 630 473 NA NA NA NA NA 1530 406 438 NA NA NA NA NA
1471467600.0 10.0 NA 99 384 0 NA NA NA NA NA 203 480 0 NA NA NA NA NA 1920 2323 328 NA NA NA NA NA 781 957 335 NA NA NA NA
1471467600.0 1000.0 NA 345 134 0 46 NA NA NA NA 448 192 0 83 NA NA NA NA 2729 566 426 136 NA NA NA NA 1321 376 441 142 NA NA NA
1471467600.0 1001.0 NA 328 194 0 0 0 0 0 NA 393 250 0 0 0 0 0 NA 2561 487 5 34 501 24 441 NA 1440 426 11 37 505 28 444
1471467600.0 1002.0 NA 341 70 NA NA NA NA NA NA 440 107 NA NA NA NA NA NA 4276 411 NA NA NA NA NA NA 1941 246 NA NA NA NA NA
1471467600.0 10021.0 NA 115 381 0 NA NA NA NA NA 252 505 0 NA NA NA NA NA 422 848 215 NA NA NA NA NA 740 695 230 NA NA NA NA
1471467600.0 10023.0 NA 117 367 0 NA NA NA NA NA 237 508 0 NA NA NA NA NA 380 701 240 NA NA NA NA NA 290 656 255 NA NA NA NA
1471467600.0 10024.0 NA 126 387 0 NA NA NA NA NA 236 508 0 NA NA NA NA NA 641 1409 329 NA NA NA NA NA 896 1161 351 NA NA NA NA
1471467600.0 10024.1 NA 128 248 0 NA NA NA NA NA 249 336 0 NA NA NA NA NA 882 808 380 NA NA NA NA NA 678 669 387 NA NA NA NA
1471467600.0 10024.2 NA 120 378 0 NA NA NA NA NA 244 547 0 NA NA NA NA NA 631 1249 326 NA NA NA NA NA 934 1058 338 NA NA NA NA
1471467600.0 10024.3 NA 126 222 0 NA NA NA NA NA 251 312 0 NA NA NA NA NA 868 803 367 NA NA NA NA NA 651 657 374 NA NA NA NA
1471467600.0 10024.4 NA 121 375 0 NA NA NA NA NA 251 502 0 NA NA NA NA NA 410 846 218 NA NA NA NA NA 311 700 230 NA NA NA NA
1471467600.0 10024.5 NA 132 215 0 NA NA NA NA NA 235 311 0 NA NA NA NA NA 874 731 373 NA NA NA NA NA 651 610 380 NA NA NA NA
1471467600.0 10025.0 NA 116 385 0 NA NA NA NA NA 248 484 0 NA NA NA NA NA 407 791 209 NA NA NA NA NA 514 676 216 NA NA NA NA
1471467600.0 10026.0 NA 124 387 0 NA NA NA NA NA 256 501 0 NA NA NA NA NA 882 2048 476 NA NA NA NA NA 1057 1545 491 NA NA NA NA
