Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1471770000.0 1334.0 NA 210 448 0 NA NA NA NA 310 548 0 NA NA NA NA 730 1225 951 NA NA NA NA 553 1092 967 NA NA NA
1471770000.0 1335.0 NA 209 450 0 NA NA NA NA 320 531 0 NA NA NA NA 691 1283 930 NA NA NA NA 493 1150 944 NA NA NA
1471770000.0 1338.0 NA 208 459 0 NA NA NA NA 308 560 0 NA NA NA NA 760 1504 918 NA NA NA NA 540 1151 930 NA NA NA
1471770000.0 134.0 NA 342 31 0 NA NA NA NA 428 73 0 NA NA NA NA 1963 5 8 NA NA NA NA 1123 11 17 NA NA NA
1471770000.0 134.705 NA 47 384 0 NA NA NA NA 93 487 0 NA NA NA NA 278 6711 381 NA NA NA NA 275 2720 415 NA NA NA
1471770000.0 134.808 NA 79 400 0 NA NA NA NA 162 507 0 NA NA NA NA 5067 7325 287 NA NA NA NA 1956 2462 293 NA NA NA
1471770000.0 134.813 NA 177 61 0 NA NA NA NA 274 107 0 NA NA NA NA 625 83 92 NA NA NA NA 424 132 120 NA NA NA
1471770000.0 134.908 NA 89 390 0 NA NA NA NA 159 492 0 NA NA NA NA 571 5976 376 NA NA NA NA 843 2911 395 NA NA NA
1471770000.0 134.99601 NA 43 384 0 NA NA NA NA 98 465 0 NA NA NA NA 285 8843 354 NA NA NA NA 329 3422 375 NA NA NA
1471770000.0 1347.0 NA 192 446 0 NA NA NA NA 336 545 0 NA NA NA NA 649 1068 916 NA NA NA NA 568 1041 1070 NA NA NA
1471770000.0 135.1 416 0 105 NA NA NA NA 532 0 161 NA NA NA NA 1026 174 301 NA NA NA NA 918 180 739 NA NA NA NA
1471770000.0 135.13 363 0 NA NA NA NA NA 471 0 NA NA NA NA NA 863 123 NA NA NA NA NA 529 127 NA NA NA NA NA
1471770000.0 135.2 359 0 100 NA NA NA NA 478 0 155 NA NA NA NA 953 258 226 NA NA NA NA 825 277 628 NA NA NA NA
1471770000.0 135.3 362 0 108 NA NA NA NA 477 0 156 NA NA NA NA 899 242 207 NA NA NA NA 769 252 248 NA NA NA NA
1471770000.0 135.4 401 0 105 NA NA NA NA 523 0 159 NA NA NA NA 936 164 171 NA NA NA NA 579 170 173 NA NA NA NA
1471770000.0 135.7 401 0 103 NA NA NA NA 526 0 157 NA NA NA NA 1197 188 144 NA NA NA NA 968 194 149 NA NA NA NA
1471770000.0 1350.0 NA 194 454 0 NA NA NA NA 317 553 0 NA NA NA NA 629 1134 961 NA NA NA NA 510 1075 989 NA NA NA
1471770000.0 1351.0 NA 197 450 0 NA NA NA NA 323 546 0 NA NA NA NA 641 1267 970 NA NA NA NA 499 1149 989 NA NA NA
1471770000.0 1352.0 NA 191 460 0 NA NA NA NA 332 549 0 NA NA NA NA 642 1071 884 NA NA NA NA 883 2535 902 NA NA NA
1471770000.0 1353.0 NA 211 450 0 NA NA NA NA 322 546 0 NA NA NA NA 751 1412 907 NA NA NA NA 546 1163 924 NA NA NA
1471770000.0 1356.0 86 196 461 0 104 NA NA 166 310 545 0 161 NA NA 8160 525 844 684 199 NA NA 2574 368 753 697 364 NA NA
1471770000.0 136.721 NA 194 414 0 NA NA NA NA 282 516 0 NA NA NA NA 3129 8281 476 NA NA NA NA 1173 2904 485 NA NA NA
1471770000.0 136.722 NA 192 425 0 NA NA NA NA 291 530 0 NA NA NA NA 3541 9214 429 NA NA NA NA 1181 3270 436 NA NA NA
1471770000.0 136.723 NA 187 413 0 NA NA NA NA 284 501 0 NA NA NA NA 3629 9060 431 NA NA NA NA 1157 2963 438 NA NA NA
1471770000.0 136.724 NA 207 429 0 NA NA NA NA 297 516 0 NA NA NA NA 4360 10850 391 NA NA NA NA 1580 3743 400 NA NA NA
1471770000.0 136.725 NA 198 417 0 NA NA NA NA 291 523 0 NA NA NA NA 3519 9416 442 NA NA NA NA 1168 3059 449 NA NA NA
1471770000.0 136.726 NA 207 413 0 NA NA NA NA 291 516 0 NA NA NA NA 4239 10142 395 NA NA NA NA 1572 3636 402 NA NA NA
1471770000.0 136.727 NA 228 431 0 NA NA NA NA 341 538 0 NA NA NA NA 36256 8134 402 NA NA NA NA 13032 3026 410 NA NA NA
1471770000.0 136.728 NA 230 435 0 NA NA NA NA 336 544 0 NA NA NA NA 6537 8879 384 NA NA NA NA 2762 3213 391 NA NA NA
1471770000.0 136.729 NA 204 418 0 NA NA NA NA 287 508 0 NA NA NA NA 3670 9992 413 NA NA NA NA 1436 3570 425 NA NA NA
1471770000.0 136.73 NA 194 438 0 NA NA NA NA 290 548 0 NA NA NA NA 3050 7806 377 NA NA NA NA 1021 3214 384 NA NA NA
1471770000.0 136.731 NA 212 420 0 NA NA NA NA 296 512 0 NA NA NA NA 4086 10241 379 NA NA NA NA 1551 3606 385 NA NA NA
1471770000.0 136.732 NA 186 408 0 NA NA NA NA 277 486 0 NA NA NA NA 1961 5325 426 NA NA NA NA 798 2119 434 NA NA NA
1471770000.0 136.7321 NA 188 432 0 NA NA NA NA 282 525 0 NA NA NA NA 1885 4922 400 NA NA NA NA 1076 2253 412 NA NA NA
1471770000.0 136.733 NA 188 69 0 NA NA NA NA 269 116 0 NA NA NA NA 711 119 88 NA NA NA NA 837 616 95 NA NA NA
1471770000.0 136.734 NA 192 417 0 NA NA NA NA 287 518 0 NA NA NA NA 3754 9189 463 NA NA NA NA 1337 3039 470 NA NA NA
1471770000.0 1360.0 98 205 469 0 NA NA NA 219 311 539 0 NA NA NA 5790 520 1117 733 NA NA NA 3310 391 925 744 NA NA NA
1471770000.0 1361.0 85 191 451 0 NA NA NA 235 329 551 0 NA NA NA 6239 669 809 764 NA NA NA 3489 517 716 777 NA NA NA
1471770000.0 1362.0 88 193 446 0 NA NA NA 225 309 545 0 NA NA NA 6184 577 788 667 NA NA NA 3938 799 703 702 NA NA NA
1471770000.0 1363.0 91 196 454 0 NA NA NA 227 332 546 0 NA NA NA 6977 835 773 791 NA NA NA 4400 815 636 802 NA NA NA
1471770000.0 139901.0 NA 198 461 0 NA NA NA NA 322 556 0 NA NA NA NA 712 1217 1037 NA NA NA NA 566 1132 1050 NA NA NA
1471770000.0 139902.0 NA 195 461 0 NA NA NA NA 335 561 0 NA NA NA NA 814 1457 919 NA NA NA NA 581 1161 937 NA NA NA
1471770000.0 13992501.0 NA 299 703 0 NA NA NA NA 426 873 0 NA NA NA NA 3089 4628 693 NA NA NA NA 1498 2050 705 NA NA NA
1471770000.0 13992502.0 NA 317 676 0 NA NA NA NA 450 861 0 NA NA NA NA 3496 5014 684 NA NA NA NA 2030 2634 691 NA NA NA
1471770000.0 140.1 NA 163 390 0 NA NA NA NA 284 500 0 NA NA NA NA 267 461 123 NA NA NA NA 276 422 130 NA NA NA
1471770000.0 140.2 NA 159 NA NA NA NA NA NA 283 NA NA NA NA NA NA 251 NA NA NA NA NA NA 243 NA NA NA NA NA
1471770000.0 140.4 NA 164 386 0 NA NA NA NA 301 490 0 NA NA NA NA 343 599 118 NA NA NA NA 281 887 125 NA NA NA
1471770000.0 140.51 NA 43 358 0 NA NA NA NA 97 457 0 NA NA NA NA 461 1182 128 NA NA NA NA 238 635 137 NA NA NA
1471770000.0 140.53 NA 553 0 NA NA NA NA NA 758 0 NA NA NA NA NA 3357 132 NA NA NA NA NA 1295 155 NA NA NA NA
1471770000.0 144.6 NA 330 NA NA NA NA NA NA 415 NA NA NA NA NA NA 1371 NA NA NA NA NA NA 749 NA NA NA NA NA
1471770000.0 145.0 NA 251 484 0 NA NA NA NA 472 688 0 NA NA NA NA 3982 4341 119 NA NA NA NA 2101 2340 128 NA NA NA
1471770000.0 15.0 NA 90 366 0 NA NA NA NA 215 459 0 NA NA NA NA 1469 793 260 NA NA NA NA 532 595 295 NA NA NA
1471770000.0 16.0 NA 96 362 0 NA NA NA NA 218 455 0 NA NA NA NA 1687 1047 253 NA NA NA NA 678 635 301 NA NA NA
1471770000.0 20.0 NA 94 363 0 NA NA NA NA 233 456 0 NA NA NA NA 1457 993 274 NA NA NA NA 591 553 298 NA NA NA
1471770000.0 204.0 79 112 398 0 NA NA NA 162 223 501 0 NA NA NA 6039 753 1275 435 NA NA NA 2136 1026 1032 453 NA NA NA
1471770000.0 205.0 NA 113 407 0 NA NA NA NA 245 503 0 NA NA NA NA 563 880 317 NA NA NA NA 438 621 383 NA NA NA
1471770000.0 250200.0 NA 369 549 0 NA NA NA NA 527 659 0 NA NA NA NA 12906 3129 757 NA NA NA NA 4690 1322 786 NA NA NA
1471770000.0 250202.0 NA 386 550 0 NA NA NA NA 559 662 0 NA NA NA NA 14075 3497 694 NA NA NA NA 4968 1554 706 NA NA NA
1471770000.0 250203.0 NA 380 536 0 NA NA NA NA 537 660 0 NA NA NA NA 13522 2835 694 NA NA NA NA 4866 1738 704 NA NA NA
1471770000.0 250204.0 NA 370 550 0 NA NA NA NA 519 665 0 NA NA NA NA 13102 2719 731 NA NA NA NA 4818 1176 747 NA NA NA
1471770000.0 250205.0 NA 356 529 0 NA NA NA NA 536 662 0 NA NA NA NA 11950 3013 719 NA NA NA NA 4545 1434 736 NA NA NA
1471770000.0 250206.0 NA 364 547 0 NA NA NA NA 511 660 0 NA NA NA NA 12799 2898 729 NA NA NA NA 4821 1202 742 NA NA NA
1471770000.0 250207.0 NA 349 534 0 NA NA NA NA 530 647 0 NA NA NA NA 10033 2335 676 NA NA NA NA 4237 1214 688 NA NA NA
1471770000.0 250399.0 217 NA NA NA NA NA NA 376 NA NA NA NA NA NA 825 NA NA NA NA NA NA 1040 NA NA NA NA NA NA
1471770000.0 250400.0 422 0 109 NA NA NA NA 568 0 164 NA NA NA NA 1285 156 252 NA NA NA NA 742 162 477 NA NA NA NA
1471770000.0 250402.0 442 0 120 NA NA NA NA 575 0 163 NA NA NA NA 2027 287 614 NA NA NA NA 1409 300 797 NA NA NA NA
1471770000.0 250406.0 385 0 105 NA NA NA NA 531 0 159 NA NA NA NA 1069 174 162 NA NA NA NA 721 180 160 NA NA NA NA
1471770000.0 250407.0 398 0 119 NA NA NA NA 495 0 165 NA NA NA NA 1295 232 310 NA NA NA NA 1004 245 311 NA NA NA NA
1471770000.0 250408.0 433 0 119 NA NA NA NA 564 0 165 NA NA NA NA 1725 247 418 NA NA NA NA 1141 258 335 NA NA NA NA
1471770000.0 250409.0 447 0 115 NA NA NA NA 597 0 173 NA NA NA NA 1990 168 338 NA NA NA NA 1081 180 188 NA NA NA NA
1471770000.0 25200.0 NA 294 633 0 NA NA NA NA 422 846 0 NA NA NA NA 2542 3026 710 NA NA NA NA 1977 2209 720 NA NA NA
1471770000.0 25202.0 NA 309 672 0 NA NA NA NA 446 884 0 NA NA NA NA 3102 5377 689 NA NA NA NA 2304 2902 695 NA NA NA
1471770000.0 25203.0 NA 298 647 0 NA NA NA NA 425 876 0 NA NA NA NA 2870 3981 740 NA NA NA NA 2034 2297 785 NA NA NA
1471770000.0 25204.0 NA 293 644 0 NA NA NA NA 453 859 0 NA NA NA NA 3005 5069 659 NA NA NA NA 2025 2735 669 NA NA NA
1471770000.0 25205.0 NA 276 674 0 NA NA NA NA 443 833 0 NA NA NA NA 2616 2916 867 NA NA NA NA 1744 2114 876 NA NA NA
1471770000.0 25206.0 NA 279 649 0 NA NA NA NA 416 860 0 NA NA NA NA 2727 3781 753 NA NA NA NA 1793 2357 823 NA NA NA
1471770000.0 25207.0 NA 298 626 0 NA NA NA NA 450 851 0 NA NA NA NA 3124 4384 664 NA NA NA NA 1943 2727 673 NA NA NA
1471770000.0 25208.0 NA 334 689 0 NA NA NA NA 499 891 0 NA NA NA NA 4309 6179 722 NA NA NA NA 2799 3110 734 NA NA NA
1471770000.0 25209.0 NA 304 716 0 NA NA NA NA 437 865 0 NA NA NA NA 3299 4350 749 NA NA NA NA 2471 2348 758 NA NA NA
1471770000.0 25210.0 66 209 499 0 NA NA NA 187 288 613 0 NA NA NA 1656 530 1014 776 NA NA NA 2543 751 1216 851 NA NA NA
1471770000.0 25211.0 82 304 658 0 NA NA NA 218 437 853 0 NA NA NA 6426 3326 3574 791 NA NA NA 3868 2260 1955 811 NA NA NA
