Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1471942800.0 118.0 57 83 175 NA 99 144 227 NA 4915 509 877 NA 5336 575 924 NA
1471942800.0 135.11 186 0 93 NA 253 0 143 NA 1427 274 478 NA 1598 284 554 NA
1471942800.0 16.0 NA 67 169 0 NA 140 227 0 NA 3115 2351 1047 NA 3166 2401 1072
1471942800.0 202.0 NA 74 181 0 NA 140 249 0 NA 1158 2113 1030 NA 1473 2410 1052
1471942800.0 250407.0 176 0 93 NA 246 0 145 NA 1277 200 499 NA 1451 223 594 NA
1471942800.0 29.0 NA 74 176 0 NA 139 234 0 NA 1997 1998 802 NA 2029 2080 823
1471942800.0 300.0 65 126 255 0 118 180 318 0 3146 752 1443 870 4150 837 1602 897
1471942800.0 4.34 NA 54 192 0 NA 95 251 0 NA 176 3497 963 NA 274 3599 986
1471942800.0 4000.0 NA 75 173 NA NA 140 230 NA NA 2338 3600 NA NA 2373 3677 NA
