Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1470819600.0 126.0 44 71 172 NA NA NA NA 89 143 227 NA NA NA NA 1447 406 611 NA NA NA NA 1467 425 675 NA NA NA NA
1470819600.0 127.0 44 70 169 NA NA NA NA 84 143 227 NA NA NA NA 1694 450 668 NA NA NA NA 1728 488 705 NA NA NA NA
1470819600.0 128.0 44 71 167 NA NA NA NA 83 143 227 NA NA NA NA 599 466 708 NA NA NA NA 661 568 937 NA NA NA NA
1470819600.0 129.0 44 70 168 NA NA NA NA 87 143 227 NA NA NA NA 633 419 647 NA NA NA NA 667 527 694 NA NA NA NA
1470819600.0 13.0 NA 64 171 0 NA NA NA NA 140 227 0 NA NA NA NA 322 1238 743 NA NA NA NA 347 1272 757 NA NA NA
1470819600.0 130.0 44 69 168 NA NA NA NA 88 143 227 NA NA NA NA 716 442 665 NA NA NA NA 799 542 805 NA NA NA NA
1470819600.0 1301.0 57 110 148 NA NA NA NA 103 171 206 NA NA NA NA 1791 676 705 NA NA NA NA 2989 1101 829 NA NA NA NA
1470819600.0 1302.0 62 118 154 NA NA NA NA 109 171 207 NA NA NA NA 7931 790 946 NA NA NA NA 8631 2121 1257 NA NA NA NA
1470819600.0 1303.0 64 125 150 NA NA NA NA 109 172 216 NA NA NA NA 11508 859 1602 NA NA NA NA 12106 1022 1930 NA NA NA NA
1470819600.0 131.0 45 72 172 NA NA NA NA 89 143 227 NA NA NA NA 1535 540 718 NA NA NA NA 1652 658 772 NA NA NA NA
1470819600.0 1311.0 NA 131 195 0 46 NA NA NA 182 259 0 85 NA NA NA 597 943 1333 144 NA NA NA 838 1720 1380 276 NA NA
1470819600.0 132.0 50 72 171 NA NA NA NA 95 143 226 NA NA NA NA 3458 462 698 NA NA NA NA 3673 496 735 NA NA NA NA
1470819600.0 133.0 54 74 173 NA NA NA NA 100 144 229 NA NA NA NA 6940 401 832 NA NA NA NA 7257 446 893 NA NA NA NA
1470819600.0 134.0 NA 183 36 0 NA NA NA NA 249 67 0 NA NA NA NA 3260 12 11 NA NA NA NA 3351 16 17 NA NA NA
1470819600.0 134.701 NA 98 206 0 NA NA NA NA 164 267 0 NA NA NA NA 1037 4088 655 NA NA NA NA 1182 4170 677 NA NA NA
1470819600.0 134.702 NA 101 199 0 NA NA NA NA 162 263 0 NA NA NA NA 3005 11459 1112 NA NA NA NA 3403 11706 1137 NA NA NA
1470819600.0 134.703 NA 104 207 0 NA NA NA NA 164 271 0 NA NA NA NA 2981 11545 1190 NA NA NA NA 3703 12959 1237 NA NA NA
1470819600.0 134.704 NA 99 206 0 NA NA NA NA 163 265 0 NA NA NA NA 2589 10642 1146 NA NA NA NA 3040 10897 1161 NA NA NA
1470819600.0 134.705 NA 106 205 0 NA NA NA NA 165 268 0 NA NA NA NA 2994 12302 1190 NA NA NA NA 3723 13529 1219 NA NA NA
1470819600.0 134.706 NA 101 210 0 NA NA NA NA 163 269 0 NA NA NA NA 2120 5489 588 NA NA NA NA 2575 5605 602 NA NA NA
1470819600.0 134.707 NA 105 199 0 NA NA NA NA 165 261 0 NA NA NA NA 2844 10938 1188 NA NA NA NA 2923 11169 1203 NA NA NA
1470819600.0 134.708 NA 100 199 0 NA NA NA NA 166 264 0 NA NA NA NA 1474 5101 660 NA NA NA NA 2125 6066 684 NA NA NA
1470819600.0 134.709 NA 101 219 0 NA NA NA NA 162 289 0 NA NA NA NA 1894 8207 843 NA NA NA NA 2653 9088 862 NA NA NA
1470819600.0 134.71 NA 92 198 0 NA NA NA NA 158 258 0 NA NA NA NA 1083 3585 585 NA NA NA NA 1539 3715 594 NA NA NA
1470819600.0 134.801 NA 101 202 0 NA NA NA NA 166 263 0 NA NA NA NA 1136 4061 619 NA NA NA NA 1728 4710 637 NA NA NA
1470819600.0 134.802 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1470819600.0 134.803 NA 105 204 0 NA NA NA NA 170 268 0 NA NA NA NA 2248 6142 547 NA NA NA NA 3295 6263 559 NA NA NA
1470819600.0 134.804 NA 110 211 0 NA NA NA NA 169 277 0 NA NA NA NA 4189 14922 1115 NA NA NA NA 4601 17053 1134 NA NA NA
1470819600.0 134.805 NA 110 209 0 NA NA NA NA 173 273 0 NA NA NA NA 4527 14513 1156 NA NA NA NA 4826 16657 1177 NA NA NA
1470819600.0 134.806 NA 118 219 0 NA NA NA NA 169 276 0 NA NA NA NA 4893 15819 1123 NA NA NA NA 5051 19499 1159 NA NA NA
1470819600.0 134.807 NA 135 222 0 NA NA NA NA 207 287 0 NA NA NA NA 5418 15316 1294 NA NA NA NA 6143 17657 1317 NA NA NA
1470819600.0 134.808 NA 132 219 0 NA NA NA NA 206 287 0 NA NA NA NA 4955 15689 1202 NA NA NA NA 5203 18341 1216 NA NA NA
1470819600.0 134.809 NA 107 210 0 NA NA NA NA 169 266 0 NA NA NA NA 4268 13862 1102 NA NA NA NA 4442 14679 1137 NA NA NA
1470819600.0 134.81 NA 109 200 0 NA NA NA NA 167 268 0 NA NA NA NA 4113 13804 1147 NA NA NA NA 4486 16166 1166 NA NA NA
1470819600.0 134.811 NA 110 206 0 NA NA NA NA 173 271 0 NA NA NA NA 4224 14809 1135 NA NA NA NA 4451 16845 1160 NA NA NA
1470819600.0 134.812 NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 0 NA NA NA NA NA
1470819600.0 134.901 NA 102 202 0 NA NA NA NA 166 263 0 NA NA NA NA 1581 5107 785 NA NA NA NA 1909 9112 809 NA NA NA
1470819600.0 134.902 NA 106 200 0 NA NA NA NA 170 264 0 NA NA NA NA 3370 10807 1144 NA NA NA NA 3806 11224 1164 NA NA NA
1470819600.0 134.903 NA 104 200 0 NA NA NA NA 168 261 0 NA NA NA NA 1497 4774 643 NA NA NA NA 1634 4893 661 NA NA NA
1470819600.0 134.904 NA 108 209 0 NA NA NA NA 172 265 0 NA NA NA NA 2510 7349 799 NA NA NA NA 6356 9677 839 NA NA NA
1470819600.0 134.905 NA 105 198 0 NA NA NA NA 168 263 0 NA NA NA NA 1508 4685 618 NA NA NA NA 1622 4802 640 NA NA NA
