Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1471640400.0 1.0 51 71 119 NA NA NA NA 96 143 168 NA NA NA NA 3004 689 755 NA NA NA NA 3241 740 871 NA NA NA NA
1471640400.0 10.0 NA 67 176 0 NA NA NA NA 140 229 0 NA NA NA NA 2093 2482 754 NA NA NA NA 2130 2583 771 NA NA NA
1471640400.0 1000.0 NA 174 98 0 31 NA NA NA 239 153 0 66 NA NA NA 4154 1125 1052 372 NA NA NA 4424 1251 1080 422 NA NA
1471640400.0 1001.0 NA 163 166 0 0 0 0 NA 220 202 0 0 0 0 NA 3866 968 125 134 1412 117 NA 4112 988 129 138 1419 124
1471640400.0 1002.0 NA 181 53 NA NA NA NA NA 248 93 NA NA NA NA NA 3848 324 NA NA NA NA NA 4055 417 NA NA NA NA
1471640400.0 1003.0 NA 156 0 NA NA NA NA NA 219 0 NA NA NA NA NA 5538 810 NA NA NA NA NA 5613 832 NA NA NA NA
1471640400.0 101.0 80 NA NA NA NA NA NA 136 NA NA NA NA NA NA 1834 NA NA NA NA NA NA 1938 NA NA NA NA NA NA
1471640400.0 102.0 80 NA NA NA NA NA NA 136 NA NA NA NA NA NA 913 NA NA NA NA NA NA 1013 NA NA NA NA NA NA
1471640400.0 103.0 46 71 170 NA NA NA NA 91 143 227 NA NA NA NA 1290 406 801 NA NA NA NA 1318 438 832 NA NA NA NA
1471640400.0 105.0 51 72 23 NA NA NA NA 96 144 53 NA NA NA NA 3022 664 7 NA NA NA NA 3114 703 11 NA NA NA NA
1471640400.0 106.0 37 0 0 NA NA NA NA 76 0 0 NA NA NA NA 706 174 337 NA NA NA NA 722 187 457 NA NA NA NA
1471640400.0 107.0 53 72 172 NA NA NA NA 97 144 227 NA NA NA NA 6177 734 1022 NA NA NA NA 6444 756 1054 NA NA NA NA
1471640400.0 108.0 55 84 174 NA NA NA NA 100 144 228 NA NA NA NA 5107 441 760 NA NA NA NA 5245 467 799 NA NA NA NA
1471640400.0 109.0 54 85 174 NA NA NA NA 100 144 228 NA NA NA NA 6097 461 790 NA NA NA NA 6328 485 832 NA NA NA NA
1471640400.0 11.0 NA 69 179 0 46 NA NA NA 139 237 0 76 NA NA NA 3083 1865 1179 88 NA NA NA 3158 1995 1198 102 NA NA
1471640400.0 110.0 43 75 167 NA NA NA NA 84 143 227 NA NA NA NA 1062 642 898 NA NA NA NA 1113 671 944 NA NA NA NA
