Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1471813200.0 1.0 57 71 121 NA NA NA NA 96 143 168 NA NA NA NA 2852 633 758 NA NA NA NA 3125 720 866 NA NA NA NA
1471813200.0 10.0 NA 68 173 0 NA NA NA NA 140 229 0 NA NA NA NA 2189 2579 777 NA NA NA NA 2329 2906 820 NA NA NA
1471813200.0 1000.0 NA 174 98 0 36 NA NA NA 239 154 0 66 NA NA NA 2509 537 574 112 NA NA NA 2706 735 599 155 NA NA
1471813200.0 1001.0 NA 165 170 0 0 0 0 NA 222 202 0 0 0 0 NA 3421 661 111 101 1156 107 NA 3499 690 117 104 1172 117
1471813200.0 1002.0 NA 178 53 NA NA NA NA NA 248 93 NA NA NA NA NA 3860 324 NA NA NA NA NA 4031 554 NA NA NA NA
1471813200.0 1003.0 NA 156 0 NA NA NA NA NA 222 0 NA NA NA NA NA 5486 774 NA NA NA NA NA 5605 790 NA NA NA NA
1471813200.0 101.0 78 NA NA NA NA NA NA 136 NA NA NA NA NA NA 1925 NA NA NA NA NA NA 1995 NA NA NA NA NA NA
1471813200.0 102.0 80 NA NA NA NA NA NA 136 NA NA NA NA NA NA 1440 NA NA NA NA NA NA 1482 NA NA NA NA NA NA
1471813200.0 103.0 47 80 170 NA NA NA NA 91 143 224 NA NA NA NA 1294 452 819 NA NA NA NA 1397 516 938 NA NA NA NA
1471813200.0 106.0 37 0 0 NA NA NA NA 76 0 0 NA NA NA NA 800 150 337 NA NA NA NA 845 156 354 NA NA NA NA
1471813200.0 107.0 53 80 171 NA NA NA NA 97 144 227 NA NA NA NA 5254 665 1125 NA NA NA NA 5377 686 1173 NA NA NA NA
1471813200.0 108.0 53 77 173 NA NA NA NA 100 144 228 NA NA NA NA 5354 442 813 NA NA NA NA 5702 501 1262 NA NA NA NA
1471813200.0 109.0 54 76 172 NA NA NA NA 100 144 228 NA NA NA NA 6454 473 820 NA NA NA NA 6897 797 1003 NA NA NA NA
1471813200.0 11.0 NA 64 178 0 38 NA NA NA 139 237 0 76 NA NA NA 2982 1662 1290 100 NA NA NA 3011 1756 1311 162 NA NA
1471813200.0 110.0 43 72 169 NA NA NA NA 84 143 227 NA NA NA NA 1078 659 860 NA NA NA NA 1157 775 1312 NA NA NA NA
1471813200.0 1102.0 NA 71 174 98 53 NA NA NA 140 230 154 100 NA NA NA 2269 3344 2124 187 NA NA NA 2780 3611 2330 226 NA NA
1471813200.0 111.0 51 73 175 NA NA NA NA 97 144 225 NA NA NA NA 3383 550 986 NA NA NA NA 3578 682 1220 NA NA NA NA
1471813200.0 112.0 52 82 172 NA NA NA NA 98 144 227 NA NA NA NA 5116 692 1021 NA NA NA NA 5291 714 1138 NA NA NA NA
1471813200.0 113.0 53 84 170 NA NA NA NA 98 144 227 NA NA NA NA 5441 765 1068 NA NA NA NA 5638 792 1115 NA NA NA NA
1471813200.0 114.0 55 71 172 NA NA NA NA 98 144 227 NA NA NA NA 4895 776 1052 NA NA NA NA 5095 838 1095 NA NA NA NA
1471813200.0 115.0 59 81 169 NA NA NA NA 99 144 226 NA NA NA NA 6776 777 1104 NA NA NA NA 7090 839 1142 NA NA NA NA
1471813200.0 116.0 55 74 173 NA NA NA NA 100 144 227 NA NA NA NA 5979 718 1163 NA NA NA NA 6082 744 1202 NA NA NA NA
1471813200.0 117.0 55 84 172 NA NA NA NA 99 144 227 NA NA NA NA 6050 465 786 NA NA NA NA 6468 665 1034 NA NA NA NA
1471813200.0 118.0 55 74 173 NA NA NA NA 99 144 227 NA NA NA NA 7496 758 1268 NA NA NA NA 7757 810 1328 NA NA NA NA
1471813200.0 119.0 52 76 171 NA NA NA NA 97 144 227 NA NA NA NA 5382 697 996 NA NA NA NA 5517 728 1104 NA NA NA NA
1471813200.0 12.0 NA 74 170 0 NA NA NA NA 139 228 0 NA NA NA NA 2000 2829 816 NA NA NA NA 2132 3050 849 NA NA NA
1471813200.0 120.0 44 69 167 NA NA NA NA 88 143 227 NA NA NA NA 944 627 857 NA NA NA NA 964 643 895 NA NA NA NA
1471813200.0 121.0 54 73 172 NA NA NA NA 100 144 228 NA NA NA NA 5921 483 794 NA NA NA NA 6221 580 972 NA NA NA NA
1471813200.0 122.0 51 75 170 NA NA NA NA 96 144 227 NA NA NA NA 2064 509 875 NA NA NA NA 2233 551 1029 NA NA NA NA
1471813200.0 123.1 155 NA NA NA NA NA NA 213 NA NA NA NA NA NA 992 NA NA NA NA NA NA 1059 NA NA NA NA NA NA
1471813200.0 123.2 156 NA NA NA NA NA NA 215 NA NA NA NA NA NA 1215 NA NA NA NA NA NA 1263 NA NA NA NA NA NA
1471813200.0 123.3 145 NA NA NA NA NA NA 203 NA NA NA NA NA NA 821 NA NA NA NA NA NA 854 NA NA NA NA NA NA
1471813200.0 124.1 151 NA NA NA NA NA NA 205 NA NA NA NA NA NA 823 NA NA NA NA NA NA 855 NA NA NA NA NA NA
1471813200.0 124.2 155 NA NA NA NA NA NA 213 NA NA NA NA NA NA 915 NA NA NA NA NA NA 973 NA NA NA NA NA NA
1471813200.0 124.4 148 NA NA NA NA NA NA 205 NA NA NA NA NA NA 758 NA NA NA NA NA NA 817 NA NA NA NA NA NA
1471813200.0 124.5 154 NA NA NA NA NA NA 205 NA NA NA NA NA NA 745 NA NA NA NA NA NA 893 NA NA NA NA NA NA
