Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1471770000.0 1000.0 NA 182 98 0 36 NA 239 153 0 66 NA 3917 981 880 285 NA 4296 1092 906 395
1471770000.0 107.0 58 72 171 NA NA 97 144 227 NA NA 5470 700 1050 NA NA 5628 733 1115 NA NA
1471770000.0 11.0 NA 73 180 0 40 NA 140 237 0 76 NA 3387 2021 1421 106 NA 3497 2089 1456 183
1471770000.0 1102.0 NA 73 172 101 59 NA 139 231 154 100 NA 2265 3273 2009 180 NA 2362 3538 2186 201
1471770000.0 112.0 55 77 172 NA NA 98 144 227 NA NA 7450 857 1137 NA NA 7681 899 1183 NA NA
1471770000.0 113.0 54 76 171 NA NA 98 144 227 NA NA 6459 722 1249 NA NA 6977 745 1308 NA NA
1471770000.0 115.0 54 75 171 NA NA 99 144 227 NA NA 6336 716 1108 NA NA 6561 745 1180 NA NA
1471770000.0 118.0 55 81 171 NA NA 99 144 227 NA NA 7583 873 1281 NA NA 7830 914 1326 NA NA
1471770000.0 12.0 NA 74 174 0 NA NA 140 229 0 NA NA 3503 4441 1119 NA NA 3552 4572 1140 NA
1471770000.0 1303.0 61 124 151 NA NA 109 172 216 NA NA 11390 844 1110 NA NA 12224 1535 1175 NA NA
1471770000.0 133.0 55 82 175 NA NA 100 144 229 NA NA 7218 479 827 NA NA 7840 561 907 NA NA
1471770000.0 134.701 NA 104 205 0 NA NA 164 267 0 NA NA 1250 5126 815 NA NA 1933 5819 862 NA
1471770000.0 134.702 NA 104 196 0 NA NA 162 263 0 NA NA 2015 7516 823 NA NA 2885 8520 861 NA
1471770000.0 134.703 NA 101 207 0 NA NA 164 271 0 NA NA 1758 6989 781 NA NA 1928 8042 797 NA
1471770000.0 134.704 NA 99 215 0 NA NA 161 265 0 NA NA 1293 4428 561 NA NA 1460 4517 571 NA
