Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1470949200.0 1.0 51 70 121 NA NA NA NA 96 143 168 NA NA NA NA 1573 326 384 NA NA NA NA 1987 369 438 NA NA NA NA
1470949200.0 10.0 NA 67 172 0 NA NA NA NA 140 229 0 NA NA NA NA 4513 4874 1575 NA NA NA NA 4711 4930 1597 NA NA NA
1470949200.0 1000.0 NA 175 99 0 36 NA NA NA 239 154 0 66 NA NA NA 2662 560 680 118 NA NA NA 2830 667 697 146 NA NA
1470949200.0 1001.0 NA 161 162 0 0 0 0 NA 222 202 0 0 0 0 NA 2569 513 81 125 1013 64 NA 2809 571 123 142 1034 121
1470949200.0 1002.0 NA 179 54 NA NA NA NA NA 249 93 NA NA NA NA NA 2240 183 NA NA NA NA NA 2558 210 NA NA NA NA
1470949200.0 1003.0 NA 156 0 NA NA NA NA NA 219 0 NA NA NA NA NA 3041 478 NA NA NA NA NA 3257 502 NA NA NA NA
1470949200.0 101.0 79 NA NA NA NA NA NA 136 NA NA NA NA NA NA 1247 NA NA NA NA NA NA 1287 NA NA NA NA NA NA
1470949200.0 102.0 79 NA NA NA NA NA NA 136 NA NA NA NA NA NA 942 NA NA NA NA NA NA 1032 NA NA NA NA NA NA
1470949200.0 103.0 46 72 169 NA NA NA NA 91 143 224 NA NA NA NA 687 229 416 NA NA NA NA 863 268 530 NA NA NA NA
1470949200.0 105.0 50 73 20 NA NA NA NA 96 144 53 NA NA NA NA 1706 312 4 NA NA NA NA 1853 332 18 NA NA NA NA
1470949200.0 106.0 37 0 0 NA NA NA NA 76 0 0 NA NA NA NA 504 103 258 NA NA NA NA 540 124 314 NA NA NA NA
1470949200.0 107.0 52 73 171 NA NA NA NA 98 144 227 NA NA NA NA 4563 521 760 NA NA NA NA 4799 590 829 NA NA NA NA
1470949200.0 108.0 55 78 176 NA NA NA NA 100 144 228 NA NA NA NA 10285 824 1442 NA NA NA NA 10738 966 1476 NA NA NA NA
1470949200.0 109.0 56 83 173 NA NA NA NA 100 144 228 NA NA NA NA 11532 853 1428 NA NA NA NA 12262 889 1482 NA NA NA NA
1470949200.0 11.0 NA 69 178 0 38 NA NA NA 139 237 0 76 NA NA NA 1916 1253 1094 75 NA NA NA 1971 1332 1168 105 NA NA
1470949200.0 110.0 44 70 166 NA NA NA NA 84 143 222 NA NA NA NA 526 343 518 NA NA NA NA 635 626 637 NA NA NA NA
1470949200.0 1102.0 NA 67 174 103 64 NA NA NA 140 231 154 100 NA NA NA 4117 6080 4002 439 NA NA NA 4490 6193 4341 449 NA NA
1470949200.0 111.0 51 73 170 NA NA NA NA 97 143 227 NA NA NA NA 1753 318 582 NA NA NA NA 2156 377 659 NA NA NA NA
1470949200.0 112.0 53 82 168 NA NA NA NA 98 144 225 NA NA NA NA 2744 390 598 NA NA NA NA 3064 453 634 NA NA NA NA
1470949200.0 113.0 52 74 171 NA NA NA NA 98 144 227 NA NA NA NA 4259 486 705 NA NA NA NA 4570 511 760 NA NA NA NA
1470949200.0 114.0 53 83 170 NA NA NA NA 98 144 227 NA NA NA NA 2730 389 602 NA NA NA NA 3075 453 640 NA NA NA NA
1470949200.0 115.0 53 77 170 NA NA NA NA 99 144 226 NA NA NA NA 4589 482 761 NA NA NA NA 4808 501 796 NA NA NA NA
1470949200.0 116.0 53 75 173 NA NA NA NA 100 144 227 NA NA NA NA 9532 759 1246 NA NA NA NA 9808 795 1295 NA NA NA NA
1470949200.0 117.0 56 80 172 NA NA NA NA 99 144 227 NA NA NA NA 12343 818 1511 NA NA NA NA 12807 844 1544 NA NA NA NA
1470949200.0 118.0 53 74 171 NA NA NA NA 99 144 227 NA NA NA NA 5307 526 862 NA NA NA NA 5488 570 916 NA NA NA NA
1470949200.0 119.0 52 82 171 NA NA NA NA 97 144 227 NA NA NA NA 2791 391 597 NA NA NA NA 3091 423 643 NA NA NA NA
1470949200.0 12.0 NA 65 171 0 NA NA NA NA 140 228 0 NA NA NA NA 2147 3070 894 NA NA NA NA 2191 3132 911 NA NA NA
1470949200.0 120.0 44 69 168 NA NA NA NA 88 143 227 NA NA NA NA 489 312 420 NA NA NA NA 547 356 499 NA NA NA NA
1470949200.0 121.0 55 82 174 NA NA NA NA 100 144 228 NA NA NA NA 6517 517 847 NA NA NA NA 6755 542 878 NA NA NA NA
1470949200.0 122.0 50 72 166 NA NA NA NA 96 144 225 NA NA NA NA 1225 303 481 NA NA NA NA 1342 342 643 NA NA NA NA
1470949200.0 123.1 153 NA NA NA NA NA NA 214 NA NA NA NA NA NA 675 NA NA NA NA NA NA 754 NA NA NA NA NA NA
1470949200.0 123.2 155 NA NA NA NA NA NA 215 NA NA NA NA NA NA 853 NA NA NA NA NA NA 896 NA NA NA NA NA NA
1470949200.0 123.3 144 NA NA NA NA NA NA 203 NA NA NA NA NA NA 514 NA NA NA NA NA NA 561 NA NA NA NA NA NA
1470949200.0 124.1 150 NA NA NA NA NA NA 205 NA NA NA NA NA NA 485 NA NA NA NA NA NA 554 NA NA NA NA NA NA
1470949200.0 124.2 153 NA NA NA NA NA NA 213 NA NA NA NA NA NA 615 NA NA NA NA NA NA 689 NA NA NA NA NA NA
1470949200.0 124.4 149 NA NA NA NA NA NA 205 NA NA NA NA NA NA 555 NA NA NA NA NA NA 613 NA NA NA NA NA NA
1470949200.0 124.5 149 NA NA NA NA NA NA 205 NA NA NA NA NA NA 511 NA NA NA NA NA NA 595 NA NA NA NA NA NA
1470949200.0 124.6 142 NA NA NA NA NA NA 203 NA NA NA NA NA NA 506 NA NA NA NA NA NA 563 NA NA NA NA NA NA
1470949200.0 125.0 55 80 169 NA NA NA NA 99 144 227 NA NA NA NA 5284 561 720 NA NA NA NA 5601 683 759 NA NA NA NA
1470949200.0 126.0 44 70 168 NA NA NA NA 89 143 227 NA NA NA NA 966 330 516 NA NA NA NA 1099 396 602 NA NA NA NA
1470949200.0 127.0 43 69 166 NA NA NA NA 84 143 227 NA NA NA NA 1168 334 546 NA NA NA NA 1404 391 605 NA NA NA NA
