Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1470646800.0 118.0 87 97 394 NA NA 161 197 483 NA NA 12369 866 1586 NA NA 4175 574 1310 NA NA
1470646800.0 119.0 77 94 369 NA NA 160 188 456 NA NA 6044 460 653 NA NA 1939 307 576 NA NA
1470646800.0 12.0 NA 98 375 0 NA NA 222 457 0 NA NA 3917 3642 738 NA NA 1411 1662 748 NA
1470646800.0 120.0 54 82 364 NA NA 110 190 454 NA NA 1331 670 1024 NA NA 815 458 982 NA NA
1470646800.0 121.0 77 93 376 NA NA 163 191 466 NA NA 8709 752 1276 NA NA 3247 495 970 NA NA
1470646800.0 122.0 44 77 351 NA NA 95 159 431 NA NA 1043 370 811 NA NA 849 386 827 NA NA
1470646800.0 123.1 333 NA NA NA NA 464 NA NA NA NA 1376 NA NA NA NA 886 NA NA NA NA
1470646800.0 123.2 339 NA NA NA NA 474 NA NA NA NA 1544 NA NA NA NA 951 NA NA NA NA
1470646800.0 123.3 291 NA NA NA NA 409 NA NA NA NA 1017 NA NA NA NA 854 NA NA NA NA
1470646800.0 124.1 332 NA NA NA NA 431 NA NA NA NA 1031 NA NA NA NA 747 NA NA NA NA
1470646800.0 124.2 331 NA NA NA NA 470 NA NA NA NA 1446 NA NA NA NA 905 NA NA NA NA
1470646800.0 124.4 321 NA NA NA NA 443 NA NA NA NA 1078 NA NA NA NA 789 NA NA NA NA
1470646800.0 124.5 332 NA NA NA NA 432 NA NA NA NA 1070 NA NA NA NA 776 NA NA NA NA
1470646800.0 124.6 303 NA NA NA NA 413 NA NA NA NA 1042 NA NA NA NA 761 NA NA NA NA
1470646800.0 125.0 75 94 366 NA NA 158 214 448 NA NA 6918 495 659 NA NA 2376 344 593 NA NA
1470646800.0 126.0 55 91 365 NA NA 111 180 443 NA NA 1852 412 601 NA NA 926 301 582 NA NA
1470646800.0 127.0 54 92 361 NA NA 108 186 458 NA NA 1528 408 584 NA NA 761 295 628 NA NA
1470646800.0 128.0 52 84 360 NA NA 96 174 467 NA NA 1279 657 888 NA NA 789 453 840 NA NA
1470646800.0 129.0 52 90 358 NA NA 101 202 441 NA NA 1279 700 953 NA NA 809 467 906 NA NA
1470646800.0 13.0 NA 97 370 0 NA NA 224 466 0 NA NA 358 1095 395 NA NA 341 734 408 NA
1470646800.0 130.0 57 83 372 NA NA 102 188 452 NA NA 1370 653 926 NA NA 850 442 884 NA NA
1470646800.0 1301.0 76 172 177 NA NA 168 279 276 NA NA 5286 948 757 NA NA 2817 776 761 NA NA
